University;Faculty;Qualification;Year;Module name;Module code;SAQA Credits;Description
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Diversity of Life;BIO 1541:;null;"Diversity of Life: This course covers the principles of biodiversity and its importance in agriculture and other fields.




"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Basic Microeconomics;ECO 1541:;null;Basic Microeconomics: This course covers the fundamental principles of microeconomics, including supply and demand, market equilibrium, and consumer behavior.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;General Chemistry for the Applied Sciences;CHEM 1541:;null;General Chemistry for the Applied Sciences: This course covers the fundamental principles of chemistry, including atomic structure, chemical bonding, and reactions.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Mathematics for Biological, Earth and Life Sciences;MAT 1543:;null;Mathematics for Biological, Earth and Life Sciences: This course covers the mathematical concepts and techniques used in the biological, earth, and life sciences, including calculus, differential equations, and statistics.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Physics for Environmental and Agricultural Sciences;PHY 1527:;null;Physics for Environmental and Agricultural Sciences: This course covers the fundamental principles of physics, including mechanics, thermodynamics, and electricity and magnetism, as applied to environmental and agricultural sciences.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Basic Macroeconomics;ECO 1641:;null;Basic Macroeconomics: This course covers the fundamental principles of macroeconomics, including economic growth, inflation, and monetary and fiscal policy.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;Basic Statistics;STA 1549:;null;Basic Statistics: This course covers the fundamental principles of statistics, including descriptive and inferential statistics, probability theory, and statistical inference.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;English Communication Skills;ECS 1541:;null;English Communication Skills for Natural and Agricultural Sciences: This course focuses on developing English communication skills specific to the natural and agricultural sciences, including scientific writing, oral presentations, and technical communication\
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);1;English Communication Skills for Natural and Agricultural Sciences;ECS 1645:;null;English Communication Skills for Natural and Agricultural Sciences: This course focuses on developing English communication skills specific to the natural and agricultural sciences, including scientific writing, oral presentations, and technical communication.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Principles of genetics;ANS 2531:;null;Principles of genetics: This course covers the basic principles of genetics, including inheritance, genetic variation, and molecular genetics.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Introduction to animal production;ANS 2532:;null;Introduction to animal production: This course provides an overview of animal production systems, including beef, dairy, swine, and sheep production.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Advance animal physiology and anatomy;ANS 6643:;null;Advance animal physiology and anatomy: This course covers the advanced concepts of animal physiology and anatomy, including the function and structure of the body systems of animals
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Advance small stock production;ANS 2631:;null;Advance small stock production: This course covers the advanced concepts of small stock production, including the management of sheep, goats, and other small ruminants.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Principles of animal nutrition;ANS 6645:;null;Principles of animal nutrition: This course covers the principles of animal nutrition, including nutrient requirements, feedstuffs, and feed formulation.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);2;Anatomy, histology and physiology of farm animals;ANS 2641:;null;Anatomy, histology, and physiology of farm animals: This course covers the anatomy, histology, and physiology of farm animals, including cows, pigs, and poultry.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Genetic principles in animal breeding;ANS 3531:;null;Genetic principles in animal breeding: This course covers the principles of animal breeding, including quantitative and molecular genetics, and their application in animal production.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Management of ruminant farm animals;ANS 3542:;null;Management of ruminant farm animals: This course covers the management practices for ruminant farm animals, including feeding, housing, and breeding.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Principles of poultry production;ANS 3632/ 3642:;null;Principles of poultry production: This course covers the principles of poultry production, including breed selection, nutrition, housing, and disease control.
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Animal health;ANS 3633/ 3643:;null;"Animal health is a course that focuses on the principles and practices of maintaining and improving the health of domestic and wild animals. The course covers the prevention, diagnosis, and treatment of infectious and non-infectious diseases, as well as the principles of animal welfare and biosecurity.

Topics covered in the course may include:

Principles of animal health and welfare
Epidemiology of infectious and non-infectious diseases
Diagnosis and treatment of common animal diseases
Principles of vaccination and disease prevention
Zoonotic diseases and public health implications
Biosecurity and disease control measures
Nutrition and its role in animal health
Animal behavior and its relationship to health and welfare
Emerging infectious diseases and their impact on animal health and welfare
"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Reproductive physiology;ANS 3641:;null;"Reproductive physiology is a course that covers the physiological mechanisms and processes involved in reproduction in animals. The course focuses on the hormonal regulation of reproductive functions, as well as the anatomy and physiology of the male and female reproductive systems.

Topics covered in the course may include:

Hormonal regulation of reproduction, including the hypothalamic-pituitary-gonadal axis
Anatomy and physiology of the male and female reproductive systems
Spermatogenesis and oogenesis
Fertilization and early embryonic development
Pregnancy and parturition
Lactation and mammary gland development
Reproductive strategies and adaptations in different animal species
Assisted reproductive technologies and their applications
Students will be expected to have a solid understanding of basic bio"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);3;Qualitative and quantitative genetics;ANS 4531:;null;"Qualitative and quantitative genetics is a course that covers the principles and applications of genetic analysis in plants and animals. The course focuses on the genetic basis of variation in traits and the methods used to measure and predict the inheritance of these traits.

Topics covered in the course may include:

Mendelian genetics and inheritance patterns
Chromosome structure and function
Gene expression and regulation
Population genetics and evolution
Quantitative trait analysis and heritability estimation
Molecular genetics and genomics
Biotechnology and genetic engineering
Applications of genetics in agriculture, medicine, and conservation
Students will be expected to have a solid understanding of basic biology, g"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);4;Biochemical principles in animal nutrition;ANS 4532:;null;"Biochemical principles in animal nutrition is a course that focuses on the essential nutrients required by animals for growth, reproduction, and maintenance of health. The course explores the metabolic pathways involved in nutrient absorption, transport, and utilization, as well as the factors that affect nutrient requirements and availability.

Topics covered in the course may include:

Overview of animal nutrition and metabolism
Carbohydrates, lipids, and proteins and their role in animal nutrition
Vitamins and minerals and their functions in animal nutrition
Feed formulation and ration balancing
Digestion and absorption of nutrients in the gastrointestinal tract
Factors affecting nutrient requirements and utilization, including genetics, environment, and stress
Nutrient interactions and anti-nutritional factors in feedstuffs
Feed additives and their role in animal nutrition
"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);4;Seminar/ Scientific project;ANS 4081;null;"A seminar or scientific project is a course that allows students to explore a topic of interest in-depth and develop their research and presentation skills. The course may be offered in different formats, such as an independent study, a research project, or a seminar series, depending on the institution.

Topics covered in the course may include:

Overview of the scientific process and research methodologies
Literature review and critical analysis of scientific papers
Designing and executing a research project
Analyzing and interpreting data
Scientific writing and communication
Presentation skills and public speaking
Ethics and responsible conduct of research
"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);4;Animal production systems and management;ANS 4621;null;"Animal production systems and management is a course that covers the principles and practices involved in managing and producing animals for various purposes, such as food, fiber, and companionship. The course focuses on the different production systems used for different species, including beef and dairy cattle, swine, poultry, and sheep.

Topics covered in the course may include:

Overview of animal production systems and management
Principles of animal behavior and welfare
Nutrition and feeding management for different species
Breeding and genetics for improved productivity and health
Animal health and disease prevention and control
Reproduction management and artificial insemination
Marketing and economics of animal production
Environmental considerations in animal production
Students will be expected to have a solid understanding of bas"
university of venda;science, engineering and agriculture;BACHELOR OF SCIENCE IN AGRICULTURAL science ( Animal Production Systems and Management);4;Environmental physiology;ANS 4632:;null;"Environmental physiology is the study of how living organisms interact with their environment and how physiological processes are regulated in response to environmental factors such as temperature, humidity, and light. This field of study is relevant to a wide range of organisms, from microorganisms to plants and animals.

Topics covered in the course may include:

Overview of environmental physiology
Regulation of body temperature and thermal physiology
Water balance and osmoregulation
Respiratory physiology and gas exchange
Physiological responses to altitude and hypoxia
Photobiology and the effects of light on biological processes
Biological rhythms and circadian physiology
Physiological responses to stress"
