University name;Faculty;Qualification;Year;Module name;Module code;SAQA Credits;Description
null;null;null;1;Informatics;IFM01A1;15;"• Solve programming problems using a computer.
• Analyse, design and program algorithms.
• Use control structures in algorithms and computer programs.
• Demonstrate the use of arrays and records in computer programs.
• Demonstrate computer programs"
null;null;null;1;Informatics;IFM01B1;15;"• Describe abstract data and internal data types.
• Explain external data types.
• Explain and compare the object-oriented programming paradigm and the component approach
to program development.
• Describe object-oriented program components and their existing relationships with other
components.
• Develop object-oriented programs in a computer language such as Visual Basic to design and
implement internal and external data types.
• Explain introductory concepts concerning social and professional issues in Information
Technology.
• Discuss select applications in Informatics."
null;null;null;2;Informatics;IFM02A2;20;"• Discuss and use database concepts.
• Discuss and implement design concepts.
• Discuss and implement advanced design and Implementation concepts.
• Discuss and implement new developments."
null;null;null;2;Informatics;IFM02B2;20;"• Describe key features of electronic commerce.
• Evaluate the role of the Internet in applications.
• Define electronic commerce business models and strategies.
• Identify appropriate technologies to meet different electronic commerce objectives.
• Critically evaluate security measures in electronic commerce over the Internet.
• Explain ethical and professional considerations for Information Technology.
• Design a simple three-tier client/server system."
null;null;null;3;Informatics;IFM03A3;30;"• Explain the accepted theoretical principles of software engineering.
• Indicate and recognize the steps involved in the development of an IT business system.
• Develop an object-orientated model for a client/server system for the Internet.
• Analyse and design a prototype of a business system in a team relationship"
null;null;null;3;Informatics;IFM03B3;30;"• Discuss and use Development concepts.
• Discuss and implement Verification and Validation concepts.
• Discuss and implement Management concepts.
• Discuss and use Emerging Technologies.
• Identify and discuss legal aspects of IT.
• Completion of a practical IT business system in a group project."
null;null;null;1;Mathematics;MAT01A1;15;"• Understand and apply the basics concepts and operations of set theory.
• Define absolute values and solve equations containing absolute values.
• Identify different proof techniques and apply them correctly to prove mathematical
statements.
• Understand and apply the basic ideas of logic.
• Define complex numbers and use their properties to perform operations on equations
containing complex numbers.
• Define limits and use limit laws to evaluate basic limits as well as limits of indeterminate form.
• Express the basic theoretical concepts underlying differentiation and integration.
• Differentiate and integrate basic exponential, logarithmic, trigonometric and hyperbolic
functions."
null;null;null;1;Mathematics;MAT01B1;15;"• Apply different integration techniques to integrate exponential, logarithmic, trigonometric and
rational functions and evaluate improper integrals.
• Sketch calculus functions using methods of graph sketching.
• Apply the concepts of differentiation in solving calculus-related word problems.
• Determine areas under curves and volumes of solids of revolution by applying techniques of
integration.
• Solve first-order differential equations.
• Employ polar coordinates to parameterise curves.
• Represent systems of linear equations using matrices and solve such systems using
Gaussian elimination.
• Comprehend the binomial theorem and use it to expand binomial expressions"
null;null;null;2;Mathematics;MAT01A2;10;"• Describe and apply basic concepts and theory underlying the convergence of sequences and
series, and apply the precise definition of convergence where necessary.
• Describe and apply basic concepts and theory underlying the Taylor and Maclaurin series of
functions, as well as approximate functions by polynomials.
• Extend and apply the calculus of single-variable functions to vector-valued functions."
null;null;null;2;Mathematics;MAT02A2;10;"• Define and comprehend the basic theoretical concepts underlying Linear Algebra.
• Comprehend the geometry and the algebra of vectors.
• Solve linear systems.
• Comprehend the algebra of Matrices.
• Apply matrices and linear transformation to solve mathematically related problems.
• Comprehend concepts relating to generalised vector spaces and subspaces.
• State and prove theorems in Linear Algebra."
null;null;null;2;Mathematics;MAT04A2;10;"• Demonstrate an integrated knowledge of the core concepts, theory, and techniques relating to
the syntax and semantics of propositional and predicate logic and to selected deductive systems
for these languages.
• Construct correct and appropriate combinatorial strategies for the efficient solution of counting
problems.
• Apply the theory and techniques of basic number theory to solve problems relating to properties
of divisibility and modular arithmetic, and to construct and use RSA cryptographic terms."
null;null;null;2;Mathematics;MAT01B2;10;"• Investigate continuity of several variable functions, using the precise definition of a limit, where
necessary.
• Determine limits, gradients, partial derivatives and directional derivatives and apply these
concepts to problem solving.
• Apply optimization theory to problems.
• Determine and evaluate multiple integrals and extend use of double and triple integrals to the
physical sciences.
• Extend and apply multiple integration techniques to vector-valued functions."
null;null;null;2;Mathematics;MAT02B2;10;"• Define and comprehend the basic theoretical concepts underlying Linear Algebra.
• State and prove theorems in Linear Algebra.
• Comprehend the concept of orthogonality.
• Define concepts on vector spaces and subspaces.
• Determine eigenvalues and eigenvectors of a given matrix.
• Comprehend the concepts and the theory of linear transformations.
• Comprehend the concepts and the theory of inner product spaces.
• Apply the theory of vector spaces and inner product spaces to solve related problems."
null;null;null;2;Mathematics;MAT04B2;10;"• Define and explain groups and recognize elementary properties of groups.
• Determine subgroups as well as cyclic subgroups and generators.
• Distinguish between isomorphisms, homomorphisms and automorphisms.
• Formulate theorems and proofs related to group theory.
• Demonstrate a thorough understanding of cosets, normal subgroups and external direct products.
• Correctly use and apply the basic terminology and concepts relating to combinatorial graphs.
• Apply path algorithms and tree traversal algorithms to problems involving graphs.
• Solve real world problems via graph theoretic modelling, e.g. solve scheduling problems by modelling
as graph colouring problems."
null;null;null;3;Mathematics;MAT01A3;15;"• Define and explain the Completeness Property of the real numbers.
• Describe the theory and properties of sequences and continuous functions.
• Demonstrate a thorough understanding of the theory of the Riemann Integral.
• Solve problems related to the abovementioned topics."
null;null;null;3;Mathematics;MAT02A3;15;"• Demonstrate a mastery of the basic theory involving sets, relations and order and be able to
solve problems, related to these topics.
• Demonstrate an integrated knowledge of the core concepts, theory, and techniques relating to
the syntax and semantics of propositional logic and to selected deductive systems for this
language.
• Construct correct and appropriate combinatorial strategies for the efficient solution of counting
problems.
• Apply the core theory and techniques of basic graph theory to prove propositions and solve
problems."
null;null;null;3;Mathematics;MAT01B3;15;"• Check for analyticity of a given complex function by using the Cauchy-Riemann equations.
• Graphically represent the images of regions under various conformal mappings.
• Calculate integrals from first principles.
• Calculate integrals using Cauchy’s integral formulas as well as by using the Residue method.
• Calculate the Laurent series of a given complex function centred at a given point.
• Calculate difficult real integrals by using methods from complex analysis. "
null;null;null;3;Mathematics;MAT02B3;15;"• Define the basic concepts and theory of integers, groups and rings: prime factorization
divisibility, equivalence relations, groups, subgroups, normal subgroups, quotient groups,
homomorphisms, isomorphisms and introductory concepts to rings and fields.
153
• Formulate and proof the basic theorems of integers, groups and rings: prime factorization
divisibility, equivalence relations, groups, subgroups, normal subgroups, quotient groups,
homomorphisms, isomorphisms and introductory concepts to rings and fields.
• Solve problems by first analysing it and then applying integrated knowledge in the abovementioned topics using the theory of abstract algebra."
null;null;null;1;Computer Science;CSC01A1;15;"• Analyse, Design and interpret an algorithm
• Program algorithms in an object oriented language such as C++.
• Use a computer to solve programming problems.
• Demonstrate computer programs in C++."
null;null;null;1;Computer Science;CSC01B1;15;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02A2;20;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02B2;20;"• Describe ISO and Internet protocols.
• Evaluate ISO and Internet protocols against each other.
• Use protocol specifications to establish the design and functioning of protocols not discussed
in the lectures.
• Apply principles of network protocol design
• Explain how data, voice and video signals are transmitted over a computer network.
• Describe components of computer networks.
• Analyse various types of computer network topologies.
• Develop object-oriented Java programs to transmit messages between workstations on a
computer network"
null;null;null;2;Computer Science;CSC02D2;20;"• Distinguish between agent-oriented and conventional paradigms
• Explain agent-oriented principles
• Apply agent-oriented and multi-agent principles during software development
• Distinguish between a selection of artificial intelligence learning problems
• Explain selected approaches for intelligent systems development
• Develop intelligent systems using selected approaches"
null;null;null;3;Computer Science;CSC03A3;30;"• Explain in detail the theoretical aspects of data structures.
• Develop short programs in an object oriented language that applies these data structures.
• The implementation of a practical project, of an appropriate scope, that demonstrates the
student’s proficiency with Abstract Data Structures.
• Comment on the efficiency of the different data structures in a range of applications.
• Estimate the performance of algorithms with respect to execution times and memory usage."
null;null;null;3;Computer Science;CSC03B3;30;"• Explain the functioning of the hardware of a computer system such as the central processor,
memory, and other components of the execution cycle correctly.
• Explain important aspects of system software such as operating systems, compilers and
interpreters accurately.
• Evaluate the design of system software, and system software components logically.
• Develop short programs in a suitable language that illustrate important aspects of a computer
system."
null;null;null;3;Computer Science;CSC03D3;30;"• Discuss Advanced Artificial Intelligence Techniques such as selected approaches from
Biologically Inspired Artificial Intelligence, Pattern Recognition, and Dimensionality Reduction
• Distinguish between AI related problem domains as appropriate in contrast to conventional
software development
• Address issues of scalability in general and within the context of the selected problem domain.
• Apply selected Advanced Artificial Intelligence Techniques in the development of software
systems within the selected problem domain"
null;null;null;3;Computer Science;CSC03P3;34;"• Identify a project in an appropriate Artificial Intelligence or Machine Learning Problem
domain.
• Extract the functional and non-functional requirements for such a project
• Research any additional techniques and technologies required to address the identified
problem
• Implement a solution to the identified problem creating (as opposed to merely utilising)
appropriate software and hardware components as agreed upon by the project
supervisor."
null;null;null;null;null;null;null;null
University of Johannesburg;Science;Bachelor of Science in Life and Environmental Science;null;null;null;null;null
null;null;null;1;Zoology;ZOO11B1;15;"• Explain animal classification and the origin of the fundamental characteristics of the major
animal phyla (Cnidaria, Platyhelminthes, Nematoda, Annelida, Mollusca, Arthropoda,
Echinodermata and Chordata).
• Describe the morphology and general biology of the major animal phyla (Cnidaria,
Platyhelminthes, Nematoda, Annelida, Mollusca, Arthropoda, Echinodermata and Chordata).
• Describe the morphology, general biology and special adaptations of the animals.
• Collect, mount and classify insects up to Family level.
• Demonstrate the ability to identify the anatomical features of the major animal phyla during
practical sessions."
null;null;null;2;Zoology;ZOO22A2;20;"• Define, explain and explore fundamental concepts of parasite ecology.
• Explain host parasite interfaces.
• Identify and diagnose parasitic diseases.
• Explain and explore life cycles of parasites.
• Use an appropriate referencing system.
• Discuss prevention and treatment of parasitic diseases."
null;null;null;2;Zoology;ZOO22B2;20;"• Discuss the characteristics used for the classification of the Vertebrata.
• Discuss the hypotheses on the origin of the Vertebrata.
• Describe the morphology, general biology and special adaptations of the vertebrate classes.
• Define the zoogeographical regions of the world and explain the distribution of tetrapods within
these zoogeographical regions.
• Discuss the different evolutionary models and processes involved in organic evolution.
• Demonstrate their ability to identify the anatomical features of the vertebrates during practical
sessions.
• Demonstrate their competency of doing independent literature reviews."
null;null;null;3;Zoology;ZOO33A3;30;"• Discuss fundamental principles of population and community ecology; including ecosystem
structure and energy flow.
• Explain the fundamental principles of various ecosystems including terrestrial, freshwater and
marine.
• Communicate aspects of ecology orally and in writing (e.g. scientific report writing, oral and
poster presentations)"
null;null;null;3;Zoology;ZOO33B3;30;"• Discuss the physical basis of neuronal function, communication along and between neurons
and sensing the environment.
• Write explanatory notes on the characteristics of cellular secretions.
• Explain the mechanisms of hormone regulation and action.
• Distinguish between muscle types.
• Compare the mechanisms of movement in different animals.
• Discuss the role of blood in the circulatory system as well as circulation in vertebrates and
invertebrates.
• Compare mechanisms of respiration in different organisms and understand the respiratory
abilities of organisms in aquatic and terrestrial environments.
• Comment on the effectiveness of the process of feeding, digestion and nutrition in different
organisms.
• Evaluate the importance of temperature regulation and the general effects of temperature on
metabolism."
null;null;null;2;Physiology;PHS02A2;20;"• Explain introductory concepts of physiology and discuss homeostatic principles.
• Explain basic concepts of chemistry and the general structure, biological functions and reactions
of the important organic and inorganic compounds in the body.
• Discuss the cellular organisation of the body by referring to the functions and interactions of the
different cell components.
• Microscopically identify the different tissue types and discuss the relationship of structure and
function with special reference to inflammation and regeneration.
• Discuss the structure and functions of the integument and related homeostatic imbalances.
• Discuss the structure and function of the skeletal system.
• Explain the principles of the neuromuscular junction and muscle contraction."
null;null;null;2;Physiology;PHS02B2;20;"• Explain the generation and propagation of an action potential.
• Describe the effect of neurotransmitters and neuromodulators on the postsynaptic membranes.
• Explain the processing of information in the neural tissue.
• Explain basic histological, chemical, physical and physiological concepts of the nervous system.
• Discuss structure and function of the different sections of the brain
• Give an overview of the reflex activities of the nervous system with the aid of descriptive
illustrations and diagrams.
• Discuss basic concepts and interactions of the autonomic nervous system.
• Give an overview of the general senses of the body.
• Discuss the structure and function of the specific organs of the endocrine system and explain
the functional aspects thereof."
null;null;null;3;Physiology;PHS03A3;30;"• Discuss functional aspects of blood with reference to specific diagnostic blood tests.
• Explain the histology and functional anatomy of the heart, as well as the electrical and
mechanical aspects of the cardiac cycle.
• Explain the basic concepts of the blood circulation.
• Discuss the functional aspects of the lymphatic system to explain the non-specific and specific
defence mechanisms of the body.
• Microscopically identify the tissues of respiratory organs and explain physical and functional
aspects thereof.
• Microscopically identify the organs of the digestive tract and explain functional adaptations and
implications thereof.
• Microscopically identify the organs of the urinary system and discuss functional aspects with
special reference to basic concepts of the formation of urine.
• Explain histological and functional adaptations of the male and female reproductive organs.
• Discuss oogenesis, spermatogenesis and related processes.
• Explain the process of fertilisation, pregnancy, parturition.
172
• Use dissections, descriptive illustrations and diagrams to explain foetal circulation and the
changes that occur after birth."
null;null;null;3;Physiology;PHS03B3;30;"• Discuss the interaction and control in positive and negative feedback mechanisms including
blood clotting, labour and lactation.
• Explain the principles of reflex activities with reference to neural, hormonal and humeral control
and the integration of neural and hormonal control.
• Compare the interaction of the different organ systems to maintain metabolism, water balance
regulation and reproduction"
null;null;null;2;Microbiology;MCB02A2;20;"• Describe the significance of bacteria
• Summarise the discovery of bacteria and spontaneous generation
• Discuss the morphology & reproduction of the bacterium
• Discuss growth and cultivation of bacteria
• Explain sterility, sterilisation & conditions affecting the action of antimicrobial treatments
• Discuss water quality and the development of bacterial water borne diseases
• Discuss food preservation and the development of bacterial food borne diseases
• Debate the advantages & disadvantages of bacterial flora of the body
• Summarise the cause, symptoms and treatment of sexually transmitted diseases caused by
bacteria
• Conduct practical work and experiments and demonstrate safe laboratory techniques
• Use a microscope correctly & present practical results by writing appropriate reports by correctly
using appropriate terminology.
• Discuss the classification, morphology and replication of plant & animal viruses, and
bacteriophages
• Explain the various isolation, identification and cultivation techniques used by virologists
• Discuss and explain viral disease development and how it influences/triggers the immune
system
• Summarise the cause, symptoms, significance and treatment of certain viral diseases
• Demonstrate virtual HHMI ELISA and enzyme tests
• Complete answer sheets regarding prudently selected viral disease videos
• Present results correctly using appropriate terminology."
null;null;null;2;Microbiology;MCB02B2;20;"• Have a clear understanding of concepts used in the study of microbiology.
• List the differences between groups of prokaryotes and eukaryotes: morphology, metabolism,
taxonomy, distribution and habitat.
• Be in a position to compare and contrast the general and diagnostic features of the following
groups: Protozoans and Archaea.
• Identify the symptoms, cause, development and treatment of diseases caused by Protozoans
and Archaea.
• Be in a position to identify, draw, annotate/label and classify giving reasons.
• Be able to integrate the theory and the practical work into one coherent unit.
• Explain the concept of plant pathology and categorize plant diseases.
• Recognize and describe the effect of the abiotic and biotic environment on the development of
plant disease.
• Explain the influence of genetic interaction of a host.
• Define concepts in disease development and explain the steps involved in plant disease
development.
• Discuss various plant diseases regarding symptoms and control.
• Demonstrate safe laboratory techniques and conduct practical experiments safely.
• Present practical results by writing appropriate reports using appropriate terminology."
null;null;null;1;Physics;PHYG1A1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws of physics applicable to the earth sciences.
• Explain, interpret and evaluate elementary theoretical models in physics applied to the earth
sciences.
• Integrate basic concepts and theories to solve problems of elementary physics applied to the
earth sciences.
• Recognize and explain aspects of the application of elementary physics as applied in a
geological and earth science context."
null;null;null;1;Physics;PHYG1B1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws of Physics relevant to the broader earth sciences.
• Understanding the physical functioning of basic natural phenomena related to the earth, the
atmosphere, the oceans and the solar system.
• Recognize and explain aspects of the application of physics in the geological, geographical and
natural environment."
null;null;null;1;Physics;PHE2LB1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws of physics applicable to the life sciences.
• Explain, interpret and evaluate elementary theoretical models in physics applied to the life
sciences.
• Integrate basic concepts and theories to solve problems of elementary physics applied to the
life sciences.
• Recognize and explain aspects of the application of elementary physics as applied in a
biological context."
null;null;null;1;Physics;PHE3LA1;15;• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles and the basic laws of physics applicable to the life sciences. • Explain, interpret and evaluate elementary theoretical models in physics applied to the life sciences. • Integrate basic concepts and theories to solve problems of elementary physics applied to the life sciences. • Recognize and explain aspects of the application of elementary physics as applied in a biological context.
null;null;null;1;Physics;PHYL1A1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws of physics applicable to the life sciences.
• Explain, interpret and evaluate elementary theoretical models in physics applied to the life
sciences.
165
• Integrate basic concepts and theories to solve problems of elementary physics applied to the
life sciences.
• Recognize and explain aspects of the application of elementary physics as applied in a
biological context."
null;null;null;1;Mathematics;MAT01A1;15;"• Understand and apply the basics concepts and operations of set theory.
• Define absolute values and solve equations containing absolute values.
• Identify different proof techniques and apply them correctly to prove mathematical
statements.
• Understand and apply the basic ideas of logic.
• Define complex numbers and use their properties to perform operations on equations
containing complex numbers.
• Define limits and use limit laws to evaluate basic limits as well as limits of indeterminate form.
• Express the basic theoretical concepts underlying differentiation and integration.
• Differentiate and integrate basic exponential, logarithmic, trigonometric and hyperbolic
functions."
null;null;null;1;Mathematics;MAT01B1;15;"• Apply different integration techniques to integrate exponential, logarithmic, trigonometric and
rational functions and evaluate improper integrals.
• Sketch calculus functions using methods of graph sketching.
• Apply the concepts of differentiation in solving calculus-related word problems.
• Determine areas under curves and volumes of solids of revolution by applying techniques of
integration.
• Solve first-order differential equations.
• Employ polar coordinates to parameterise curves.
• Represent systems of linear equations using matrices and solve such systems using
Gaussian elimination.
• Comprehend the binomial theorem and use it to expand binomial expressions"
null;null;null;2;Environmemntal Management;ENM02A2;20;"• Examine and explain the causes of the present-day environmental crisis.
• Define and explain essential terminology related to sustainability and environmental
management.
• Explain how ecosystems have a structure and functions according to certain basic
environmental laws.
• Critically assess the meaning and principles of sustainable development.
• Discuss and explain how environmental degradation is caused by both natural and
anthropogenically-induced factors.
• Examine and explain environmental problems in the context of different types of land use.
• Discuss the meaning and principles of sustainable development.
• Explain the causes, impacts and strategies to ameliorate global climate change.
• Account for the loss of biodiversity on a global scale, as well as within South Africa and examine
various solutions to this environmental issue.
• Explain the environmental impacts of different types of mining and discuss ways to manage
these more appropriately.
• Explain the impacts of agriculture on the environment, both in general and in South Africa more
specifically.
• Apply specific research methods to environmental data and to the local environment."
null;null;null;3;Environmemntal Management;ENM03A3;30;"• Explain the role played by economics in environmental management.
• Identify and explain suitable economic instruments for environmental management.
• Have an understanding of ethics as pertaining to the environment, and using many case
studies, assess how ethical projects are for people and the environment.
• Debate environmental issues regarding the impact of the environment, economics and
humans.
• Describe the manner in which statutory environmental law has evolved in South Africa with
specific reference to the post-apartheid period.
• Assess the role played by international and regional environmental law in shaping South
African environmental law.
• Differentiate between compliance and enforcement
• Critically assess the effectiveness and implementation of South African environmental law, with
specific reference to the Constitution, and other relevant framework laws.
• Participate in practical sessions, which may comprise of various site visits, case studies,
physical activities, data collection and processing, attending public participation events and the
like."
null;null;null;3;Environmemntal Management;ENM03B3;30;"• Identify why environmental resource management is an ethical and moral issue.
• Define and interpret key concepts associated with environmental assessment, monitoring,
mitigation and rehabilitation and to know and apply the logical sequence to be followed when
undertaking a successful environmental management programme.
• Describe Integrated Environmental Management (IEM) in South Africa.
• Demonstrate how Environmental Management in South Africa is determined by environmental
policy and associated environmental legislation."
null;null;null;1;Geology;GLG01A1;12;"• Predict chemical and structural properties of minerals based on crystal chemistry.
• Evaluate minerals using crystallographic principles.
• Analyse common minerals with a fundamental understanding of systematic mineralogy.
• Demonstrate an understanding of the optical properties of transparent minerals.
• Use the correct terminology in describing the optical properties of a mineral.
• Use the petrographic microscope for the identification of the optical properties of minerals."
null;null;null;1;Geology;GLG00A1;3;"• Predict chemical and structural properties of minerals based on crystal chemistry.
• Evaluate minerals using crystallographic principles.
• Analyse common minerals with a fundamental understanding of systematic mineralogy.
• Demonstrate an understanding of the optical properties of transparent minerals.
• Use the correct terminology in describing the optical properties of a mineral.
• Use the petrographic microscope for the identification of the optical properties of minerals."
null;null;null;1;Geology;GLG01B1;15;"• Identify and describe rocks in the field.
• Appreciate the value of field work.
• Classify the rocks observed into their lithostratigraphic groupings.
• Make geological observations and record them in a coherent way in their field note book.
• Use geological field equipment.
• Make notes about the relationship between geological features and the environment."
null;null;null;2;Geology;GLG22A2;16;"• Demonstrate an understanding of the fundamental components of clastic, chemical and
biogenic sedimentary rocks and classify as well identify their origins
• Identify and contrast the various bedforms and primary and secondary sedimentary structures
associated with sedimentary rocks and understand their formation
• Understand the processes by which rocks weather physically and chemically
• Describe and interpret the composition of clastic and chemical sediments
• Examine ancient sedimentary rock sequences in the field, measure sedimentary profiles in the
field, examine and record various aspects of sedimentary rocks (grain size, sedimentary
structures) in the field.
• Understand the basic principles of facies analysis and how facies analysis is used to identify
and interpret modern and ancient sedimentary environments
• Understand the origin and evolution of some sedimentary deposits of southern Africa and its
mineral deposits."
null;null;null;2;Geology;GLG00A2;4;"• Recognize, categorize and interpret the origin of the most common types of metamorphic
rocks.
• Use the petrographic microscope to the study of metamorphic rocks"
null;null;null;2;Geology;GLG02B2;20;"• Recognize, categorize and interpret the origin of the most common types of igneous rocks.
• Use the petrographic microscope to the study of igneous rocks.
• Use geochemistry to the study of igneous rocks.
• Identify the origin and evolution of South Africa’s igneous rocks.
• Identify the significance of igneous rocks in a plate tectonic context."
null;null;null;3;Geology;GLG10A3;12,5;"• Comprehend the mutual relationship between stress, strain and rheological behaviour of
deformed rocks
• Identify the characteristic features in fault rock that relate to brittle and ductile rock behaviour
formations.
• Make and interpret structural measurements using geological maps and stereographic
projections
• Understand the mutual relationship between deformation, metamorphism and time in the
evolution of deformed terrains
• Understand the relationship between geodynamic processes and the evolution of modern day
plate boundaries."
null;null;null;3;Geology;GLG20A3;12,5;"• Observe different geological features.
• Evaluate and interpret geological observations"
null;null;null;3;Geology;GLG00A3;5;"• Use the geological compass for geological measurements.
• Map geological phenomena on various scales.
• Produce a geological map, including cross sections and a stratigraphic column.
• Write a concise report on the results"
null;null;null;3;Geology;GLG03B3;30;"• Understand the function of a geological compass and how to use if effectively.
• Use the correct terminology in describing the geological structure indicated on a geological
map.
• To interpret geological maps in terms of stratigraphy and structural geology.
• Create a geological map from limited information given.
• Understand basic navigational techniques
• Explain the fundamental theory and applications of coordinate reference systems, map
projections, and the global positioning system (GPS).
• Formulate geological applications of geographic information systems (GIS) using technical
methods.
• Formulate geological applications of remote sensing (RS) using technical methods."
null;null;null;1;Geology;APG02A2;20;"• Understand the function of a geological compass and how to use if effectively.
• Use the correct terminology in describing the geological structure indicated on a geological
map.
• To interpret geological maps in terms of stratigraphy and structural geology.
• Create a geological map from limited information given.
• Understand basic navigational techniques
• Explain the fundamental theory and applications of coordinate reference systems, map
projections, and the global positioning system (GPS).
• Formulate geological applications of geographic information systems (GIS) using technical
methods.
• Formulate geological applications of remote sensing (RS) using technical methods."
null;null;null;2;Geology;APG02B2;20;"• Demonstrate an understanding of how the South African geology is an integral part of
environmental studies.
• Demonstrate an understanding of the fundamentals of aquatic chemistry.
• Demonstrate an understanding of the environmental implications of mining activities.
• Demonstrate an understanding of lithological variation in rock sequences and how variation in
rheological properties under varying physical conditions can influence the stability of target
areas.
• Demonstrate an understanding of basic geological structures and how these influence
engineering aspects of the rocks.
• Give a basic evaluation of engineering sites based on geological observations made
• Gain an understanding of the stratigraphy of South Africa.
• Give examples of different kinds of weathering in rocks.
• Demonstrate an understanding of the positive and negative engineering aspects of common
rocks."
null;null;null;3;Geology;APG03A3;30;"• Demonstrate an understanding of the basic concepts and components of a mineral mining
operation and the role of a Geologist therein.
• Demonstrate an understanding of the various mining methods used in South Africa
• Demonstrate an understanding of the workings and role of a metallurgical plant in the
beneficiation of various mineral products
• Understand the concepts and principles of sampling mineralized material
• Demonstrate an understanding of the various drilling methods and techniques used in
exploration and mining and how geology affects this process
• Describe rocks as water bearers and explain the basis for aquifer occurrences in South Africa
and their importance in drilling and mining operations
• Describe the engineering properties and strength of rock material and its effect on drilling and
mining operations."
null;null;null;3;Geology;APG03B3;30;"• Recognize ore minerals and interpret their textures both in hand sample and by using the
• petrographic microscope with reflected light.
• Understand the primary processes of ore formation.
• Understand the theory of the principle types of geochemical surveys.
• Understand and apply the primary data-handling techniques of ore body evaluation.
• Understand the economic aspects of South Africa’s economic deposits"
null;null;null;1;Analytical Techniques;ATE01A1;15;"• Demonstrate the ability to use statistical terminology in the appropriate way and distinguish
between different measurement scales.
• Show how the raw data can be tabulated and presented graphically.
• Calculate and interpret measures of central tendency and spread for a set of data and perform
elementary probability calculations
• Identify different methods used to gather sample data and understand the basic concepts of
sampling distributions and statistical inference.
• Show how to analyse a time series and forecast values for future time periods.
• Determine and use least squares regression lines and the coefficients of correlation."
null;null;null;1;Analytical Techniques;ATE01B1;15;"• Apply various inferential methods to data.
• Apply the rudiments of the differential and integral calculus to business applications.
• Find the maximum or minimum of a multivariable function subject to linear constraints on the
variables."
null;null;null;1;Analytical Techniques;ATEACP2;15;"• Demonstrate the ability to use statistical terminology in the appropriate way and distinguish
between different measurement scales.
• Show how the raw data can be tabulated and presented graphically.
• Calculate and interpret measures of central tendency and spread for a set of data and perform
elementary probability calculations.
• Identify different methods used to gather sample data and understand the basic concepts of
sampling distributions and statistical inference.
• Show how to analyse a time series and forecast values for future time periods.
• Determine and use least squares regression lines and the coefficients of correlation."
null;null;null;1;Biochemistry;BIC01B1;15;"• Recognize, determine and demonstrate the working and calculation of buffers.
• Define, memorize, explain and show the working of proteins.
• Indicate, classify and recognize different biomolecules and understand their actions in
membrane function.
• Describe basic molecular techniques, employ and solve biotechnological problems and their
use in new developments."
null;null;null;2;Biochemistry;BIC02A2;20;"• Recognize, determine and demonstrate the working and calculation of buffers.
• Name and recognize monomers and polymers of biomolecules.
• Explain the principle involved in biochemical separation and analytical techniques.
• Demonstrate the ability to design and develop simple protocols for biomolecule isolation,
purification and characterization.
• Describe, classify and recognize different enzymes, their functioning and application.
• Define and describe the working of enzymes.
• Acquire, analyse and interpret enzymological data.
• Understand the biochemical basis of enzyme regulation."
null;null;null;2;Biochemistry;BIC02B2;20;"• Have knowledge of and comprehend the principles and theories governing carbohydrate, lipid,
protein and nucleic acid metabolism.
• Interpret the related mechanisms of regulation and be able to compare the different ways on
metabolic control.
• Grasp the overall concept of metabolism and indicate how it is integrated in terms of energy
metabolism.
• Apply their knowledge to relevant applicable situations, e.g. how metabolism is influenced by
nutrition and exercise."
null;null;null;3;Biochemistry;BIC03A3;30;"• Name and define different Mendelian principles and biological information flow.
• Differentiate between and select appropriate techniques that can be employed in Molecular
Biology and Biotechnology.
• Relate, compare and discriminate between components of prokaryotic biological information
flow.
• Relate, compare and discriminate between components of eukaryotic biological information
flow."
null;null;null;3;Biochemistry;BIC03B3;30;"• Comment on the composition, role and classification of different membranes, and bacterial cell
walls.
• Organize the endocrine system and related hormones in terms of origin (organs or tissue), structure,
transduction mechanisms and effects.
• Evaluate the different mechanisms involved in host-pathogen interaction, including apoptosis.
• Formulate an overview of muscle structure and function as well as the cytoskeleton.
• Organize blood cells as red and white based on origin, composition and function and explain
haemostasis and thrombosis.
• Formulate the collection of plasma proteins and immunoglobulins found in the plasma.
• Criticise various immunological techniques and formulate their appropriate use.
• Prepare a critique on the human genome project and the management thereof.
• Comment on HIV/AIDS in the context of Southern Africa."
null;null;null;null;null;null;null;null
