University;Faculty;Qualifications;Year;Modules;Module Code;SAQA Credits;Description
null;null;null;null;Financial accounting 121;FRK 121;null;"Property, plant and equipment; intangible assets; inventories; liabilities; presentation of financial statements;
enterprises without profit motive; partnerships; companies; close corporations; cash flow statements; analysis
and interpretation of financial statements."
null;null;null;null;Informatics 112;INF 112;null;"Introduction to information systems, information systems in organisations, hardware: input, processing, output,
software: systems and application software, organisation of data and information, telecommunications and
networks, the Internet and Intranet. Transaction processing systems, management information systems,
decision support systems, information systems in business and society, systems analysis, systems design,
implementation, maintenance and revision."
null;null;null;null;Informatics 183;INF 183;null;Computer processing of accounting information.
null;null;null;null;Communication management 184;KOB 184;null;"Applied business communication skills.
Acquiring basic business communication skills will enhance the capabilities of employees, managers and leaders
in the business environment. An overview of applied skills on the intrapersonal, dyadic, interpersonal, group
(team), organisational, public and mass communication contexts is provided. The practical part of the module
(for example, the writing of business reports and presentation skills) concentrates on the performance
dimensions of these skills as applied to particular professions."
null;null;null;null;Business management 114;OBS 114;null;"The entrepreneurial mind-set; managers and managing; values, attitudes, emotions, and culture: the manager
as a person; ethics and social responsibility; decision making; leadership and responsible leadership; effective
groups and teams; managing organizational structure and culture inclusive of the different functions of a generic
organisation and how they interact (marketing; finance; operations; human resources and general
management); contextualising Sustainable Development Goals (SDG) in each of the topics."
null;null;null;null;Statistics 122;STC 122;null;"Inferential concepts. Experimental and observational data. Measures of association, uncertainty and goodness of
fit. Sampling error and accuracy of estimation. Introduction to linear regression, reduction of variation due to
regression. Conditional distributions of residuals. Simulation based inference: conditional means and prediction
intervals. Bivariate data visualisation. Supporting mathematical concepts. Statistical concepts are demonstrated
and interpreted through practical coding and simulation within a data science framework.
This module is also presented as a summer school for students who initially elected and passed STK 120 with a
final mark of at least 60% and then decides to further their studies in statistics as well as for students who
achieved a final mark of between 40% - 49% in STC 122 during semester 2."
null;null;null;null;Statistics 110;STK 110;null;"Sampling and the collection of data; frequency distributions and graphical representations. Descriptive
measures of location and dispersion.
Probability and inference:
Introductory probability theory and theoretical distributions. Sampling distributions. Estimation theory and
hypothesis testing of sampling averages and proportions (one and two-sample cases). Supporting mathematical
concepts. Statistical concepts are demonstrated and interpreted through practical coding and simulation within
a data science framework."
null;null;null;null;Statistics 120;STK 120;null;"Analysis of variance, categorical data analysis, distribution-free methods, curve fitting, regression and
correlation, the analysis of time series and indices. Statistical and economic applications of quantitative
techniques: Systems of linear equations: solving and application. Optimisation, linear functions, non-linear
functions. Marginal and total functions. Stochastic and deterministic variables in statistical and economic
context: producers' and consumers' surplus. Supporting mathematical concepts. Statistical concepts are
illustrated using simulation within a data science framework.
This module is also presented as STK 121, an anti-semester module. This is a terminating module."
null;null;null;2;Business accounting 200;BAC 200;null;"To use a conceptual understanding of intermediate foundational knowledge of International Financial Reporting
Standards (IFRS) in order to prepare, present and interpret company and basic group company financial
statements in a familiar business context and to propose clear solutions with adequate justification to solve
financial problems in an ethical manner."
null;null;null;null;Taxation 200;BEL 200;null;"This module introduces students to taxation in the context of its history, its basic principles and its
interdisciplinary nature as it relates to policy, legislation and governance. It also addresses the inherent demand
for ethical and responsible conduct by all tax practitioners/professionals and taxpayers in pursuit of sustainable
development in South Africa. The module is principles-based and will enable a student to interpret and apply the
fundamental principles and concepts of taxation, specifically related to the Income Tax Act (No. 58 of 1962). In
addition, the module will enable a student to interpret and apply specific sections in the Income Tax Act relating
to donations and deceased estates."
null;null;null;null;Business law 210;BER 210;null;Basic principles of law of contract. Law of sales, credit agreements, lease.
null;null;null;null;Business law 220;BER 220;null;"Labour law. Aspects of security law. Law of insolvency. Entrepreneurial law; company law, law concerning close
corporations. Law of partnerships"
null;null;null;null;Financial management 210;FBS 210;null;"Framework and purpose of financial management; understanding financial statements; analysis of financial
statements for decision making; time value of money; risk and return relationships; business valuation; shortterm planning; current asset management."
null;null;null;null;Financial management 220;FBS 220;null;"The purpose and functioning of management accounting, cost classification; the determination of product costs
including raw material costs, labour costs, overheads and its allocation according to traditional and activitybased costing methods, inventory management, the accumulation of costs according to job and process costing
systems, the treatment of joint and by-products and the determination of costs according to a direct and
absorption costing approach; decisionmaking with reference to cost-volume-profit ratios."
null;null;null;null;Internal auditing 200;IAU 200;null;Introduction to the business environment. An organisation’s internal control environment and internal control systems. The internal auditing profession and the role of the Institute of Internal Auditors (IIA). Code of Ethics and standards of internal auditors (IPPF). The internal audit process, tools and techniques used during the audit. The identification of weaknesses, risks and controls. Planning and performing limited scope assurance engagements for the revenue and procurement business processes. Relationship between internal auditing and other related stakeholders in business. Introduction to corporate governance.
null;null;null;null;Informatics 264;INF 264;null;"Foundation of databases and query languages which are relevant to the application of information systems
within a business environment."
null;null;null;3;Business accounting 300;BAC 300;null;"BAC 300 includes both company and complex group company statements and the outcome of BAC 300 is:
To use a conceptual understanding of comprehensive and integrated foundational knowledge of International
Financial Reporting Standards (IFRS), basic foundational knowledge of IFRS for small and medium-sized
enterprises (IFRS for SMEs) and basic foundational knowledge of Generally Recognised Accounting Practice
(GRAP), in order to proficiently prepare, present and interpret company and complex group company financial
statements in an unfamiliar business context and to propose appropriate solutions with compelling justification
to solve financial problems in an ethical manner."
null;null;null;null;Taxation 300;BEL 300;null;"The purpose of the module is to enable the learner to calculate the value-added tax liability and to journalise
transactions; calculate the normal tax liability (including the determination of taxable capital gains and assessed
capital losses) of individuals, companies, estates and trusts,discuss tax principles on value-added tax and
normal tax; and calculate and discuss provisional and employees' tax and to object against an assessment"
null;null;null;null;Financial management 310;FBS 310;null;"Relevant costs; standard costing with reference to application and evaluation; preparation and evaluation of
plans, budgets and forecasts; techniques for allocating and managing resources; costing and accounting
systems evaluation; techniques used in management decision making; new developments in business and
management accounting; case study perspective. Cost management; strategic management accounting; cost
estimation and cost behaviour; quantitative models for stock control; application of linear programming in
management accounting; various management accounting techniques"
null;null;null;null;Financial management 320;FBS 320;null;"Cost of capital; determination of capital requirements and the financing of a business to maintain the optimal
capital structure; the investment decision and the study of financial selection criteria in the evaluation of capital
investment projects; impact of inflation and risk on capital investment decisions; evaluation of leasing decisions;
dividend decisions; international financial management. Valuation principles and practices: an introduction to
security analysis; hybrids and derivative instruments, mergers and acquisitions."
null;null;null;null;Internal auditing 300;IAU 300;null;"General and application information technology controls. The identification of weaknesses, risks, controls and
engagement procedures for the human resources and payroll, inventory and bank and cash business processes.
Assurance engagements (control, compliance and financial audit engagements). Safety, health and
environmental audit engagements. Sustainability assurance engagements. Quantitative techniques, data
analytics and computer assisted audit techniques. Risk-based, compliance, operational, forensic and consulting
audit engagements. Introduction to the public sector internal audit environment. Corporate Governance,
relevant legislation and other guidelines that affect the internal audit profession. Audit communication."
null;null;BCom (Informatics) Information Systems;1;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course"
null;null;null;null;Financial accounting 111;FRK 111;null;"The nature and function of accounting; the development of accounting; financial position; financial result; the
recording process; processing of accounting data; treatment of VAT; elementary income statement and balance
sheet; flow of documents; accounting systems; introduction to internal control and internal control measures;
bank reconciliations; control accounts; adjustments; financial statements of a sole proprietorship; the accounting
framework."
null;null;null;null;Financial accounting 121;FRK 121;null;"Property, plant and equipment; intangible assets; inventories; liabilities; presentation of financial statements;
enterprises without profit motive; partnerships; companies; close corporations; cash flow statements; analysis
and interpretation of financial statements."
null;null;null;null;Financial accounting 122;FRK 122;null;"Budgeting, payroll accounting, taxation – income tax and an introduction to other types of taxes, credit and the
new Credit Act, insurance, accounting for inventories (focus on inventory and the accounting entries, not
calculations), interpretation of financial statements."
null;null;null;null;Informatics 112;INF 112;null;"Introduction to information systems, information systems in organisations, hardware: input, processing, output,
software: systems and application software, organisation of data and information, telecommunications and
networks, the Internet and Intranet. Transaction processing systems, management information systems,
decision support systems, information systems in business and society, systems analysis, systems design,
implementation, maintenance and revision."
null;null;null;null;Information systems 113;INF 113;null;Introduction to quantitative methods for Information systems to students.
null;null;null;null;Informatics 164;INF 164;null;Programming.
null;null;null;null;Informatics 171;INF 171;null;"General systems theory, creative problem solving, the business analyst, systems development building blocks,
systems analysis methods, process modelling and data modelling."
null;null;null;null;Informatics 183;INF 183;null;Computer processing of accounting information.
null;null;null;null;Business management 114;OBS 114;null;"The entrepreneurial mind-set; managers and managing; values, attitudes, emotions, and culture: the manager
as a person; ethics and social responsibility; decision making; leadership and responsible leadership; effective
groups and teams; managing organizational structure and culture inclusive of the different functions of a generic
organisation and how they interact (marketing; finance; operations; human resources and general
management); contextualising Sustainable Development Goals (SDG) in each of the topics"
null;null;null;null;Business management 124;OBS 124;null;"Value chain management: functional strategies for competitive advantage; human resource management;
managing diverse employees in a multicultural environment; motivation and performance; using advanced
information technology to increase performance; production and operations management; financial
management; corporate entrepreneurship."
null;null;null;null;Statistics 110;STK 110;null;"Sampling and the collection of data; frequency distributions and graphical representations. Descriptive
measures of location and dispersion.
Probability and inference:
Introductory probability theory and theoretical distributions. Sampling distributions. Estimation theory and
hypothesis testing of sampling averages and proportions (one and two-sample cases). Supporting mathematical
concepts. Statistical concepts are demonstrated and interpreted through practical coding and simulation within
a data science framework."
null;null;null;null;Statistics 120;STK 120;null;"Analysis of variance, categorical data analysis, distribution-free methods, curve fitting, regression and
correlation, the analysis of time series and indices. Statistical and economic applications of quantitative
techniques: Systems of linear equations: solving and application. Optimisation, linear functions, non-linear
functions. Marginal and total functions. Stochastic and deterministic variables in statistical and economic
context: producers' and consumers' surplus. Supporting mathematical concepts. Statistical concepts are
illustrated using simulation within a data science framework"
null;null;null;2;Business law 210;BER 210;null;Basic principles of law of contract. Law of sales, credit agreements, lease.
null;null;null;null;Business law 220;BER 220;null;"Labour law. Aspects of security law. Law of insolvency. Entrepreneurial law; company law, law concerning close
corporations. Law of partnerships."
null;null;null;null;Informatics 214;INF 214;null;"Database design: the relational model, structured query language (SQL), entity relationship modelling,
normalisation, database development life cycle; practical introduction to database design. Databases: advanced
entity relationship modelling and normalisation, object-oriented databases, database development life cycle,
advanced practical database design."
null;null;null;null;Informatics 225;INF 225;null;An overview of systems infrastructure and integration
null;null;null;null;Informatics 261;INF 261;null;"Database management: transaction management, concurrent processes, recovery, database administration:
new developments: distributed databases, client-server databases: practical implementation of databases."
null;null;null;null;Informatics 271;INF 271;null;"Systems analysis. Systems design: construction; application architecture; input design; output design; interface
design; internal controls; program design; object design; project management; system implementation; use of
computer-aided development tools."
null;null;null;null;Applications in data science 212;WST 212;null;"Introductory machine learning concepts. Data base design and use. Data preparation and extraction. Statistical
modelling using data base structures. Statistical concepts are demonstrated and interpreted through practical
coding and simulation within a data science framework."
null;null;null;null;Informatics 315;INF 315;null;"A review of current trends which are relevant to the application of information systems within a business
environment"
null;null;null;null;Informatics 324;INF 324;null;Information systems in organisations.
null;null;null;null;Informatics 354;INF 354;null;Advanced programming.
null;null;null;null;Informatics 370;INF 370;null;"Application of systems analysis and design in a practical project; programming; use of computer-aided
development tools."
null;Natural & Agricultural Sciences;null;null;null;null;null;null
null;null;BSc (Actuarial and Financial Mathematics);1;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course."
null;null;null;null;Financial management 112;FBS 112;null;"Key principles of financial management. Company ownership. Taxation. Introduction to financial statements.
Structure of financial statements. Depreciation and reserves. Preparing financial statements. Group financial
statements and insurance company financial statements. Interpretation of financial statements. Limitation of
financial statements. Issue of share capital."
null;null;null;null;Financial management 122;FBS 122;null;"Financial instruments. Use of financial derivatives. Financial institutions. Time value of money. Component cost
of capital. Weighted average cost of capital. Capital structure and dividend policy. Capital project appraisal.
Evaluating risky investments."
null;null;null;null;Actuarial and Financial Mathematics in practice 111;IAS 111;null;Professionalism, working in multicultural environments, self-development, propositional logic, financial needs.
null;null;null;null;Actuarial and Financial Mathematics in practice 121;IAS 121;null;"Financial service providers, investment examples including an introduction to mathematics of finance, life
insurance examples including an introduction to contingencies, general insurance examples including an
introduction to reserving using run-off triangles, personal self-development."
null;null;null;null;Mathematical statistics 111;WST 111;null;"Characterisation of a set of measurements: Graphical and numerical methods. Random sampling. Probability
theory. Discrete and continuous random variables. Probability distributions. Generating functions and moments."
null;null;null;null;Mathematical statistics 121;WST 121;null;"Sampling distributions and the central limit theorem. Statistical inference: Point and interval estimation.
Hypothesis testing with applications in one and two-sample cases. Introductory methods for: Linear regression
and correlation, analysis of variance, categorical data analysis and non-parametric statistics. Identification, use,
evaluation and interpretation of statistical computer packages and statistical techniques."
null;null;null;null;Calculus 114;WTW 114;null;"Functions, limits and continuity. Differential calculus of single variable functions, rate of change, graph
sketching, applications. The mean value theorem, the rule of L'Hospital. Definite and indefinite integrals,
evaluating definite integrals using anti-derivatives, the substitution rule."
null;null;null;null;Numerical analysis 123;WTW 123;null;"Non-linear equations, numerical integration, initial value problems for differential equations, systems of linear
equations. Algorithms for elementary numerical techniques are derived and implemented in computer
programmes. Error estimates and convergence results are treated."
null;null;null;null;Mathematics 124;WTW 124;null;"The vector space Rn, vector algebra with applications to lines and planes, matrix algebra, systems of linear
equations, determinants. Complex numbers and factorisation of polynomials. Integration techniques and
applications of integration. The formal definition of a limit. The fundamental theorem of Calculus and
applications. Vector functions and quadratic curves."
null;null;null;null;Mathematical modelling 152;WTW 152;null;"The module serves as an introduction to computer programming as used in science. Modelling of dynamical
processes using difference equations; curve fitting and linear programming are studied. Applications are drawn
from real-life situations in, among others, finance, economics and ecology"
null;null;null;2;Financial mathematics 211;IAS 211;null;"Principles of actuarial modelling, cash-flow models, the time value of money, interest rates, discounting and
accumulating, level annuities, deferred and increasing annuities, equations of value."
null;null;null;null;Contingencies 221;IAS 221;null;"Fundamentals of survival models, select and ultimate life tables, Assurance and annuity functions, basic
calculation of premiums and reserves, principles of pricing and reserving."
null;null;null;null;Mathematical statistics 211;WST 211;null;"Set theory. Probability measure functions. Random variables. Distribution functions. Probability mass functions.
Density functions. Expected values. Moments. Moment generating functions. Special probability distributions:
Bernoulli, binomial, hypergeometric, geometric, negative binomial, Poisson, Poisson process, discrete uniform,
uniform, gamma,exponential, Weibull, Pareto, normal. Joint distributions: Multinomial, extended hypergeometric,
joint continuous distributions. Marginal distributions. Independent random variables. Conditional distributions.
Covariance, correlation. Conditional expected values. Transformation of random variables: Convolution formula.
Order statistics. Stochastic convergence: Convergence in distribution. Central limit theorem. Practical
applications. Practical statistical modelling and analysis using statistical computer packages and the
interpretation of the output."
null;null;null;null;Applications in data science 212;WST 212;null;"Introductory machine learning concepts. Data base design and use. Data preparation and extraction. Statistical
modelling using data base structures. Statistical concepts are demonstrated and interpreted through practical
coding and simulation within a data science framework."
null;null;null;null;Mathematical statistics 221;WST 221;null;"Stochastic convergence: Asymptotic normal distributions, convergence in probability. Statistics and sampling
distributions: Chi-squared distribution. Distribution of the sample mean and sample variance for random samples
from a normal population. T-distribution. F-distribution. Beta distribution. Point estimation: Method of moments.
Maximum likelihood estimation. Unbiased estimators. Uniform minimum variance unbiased estimators. CramerRao inequality. Efficiency. Consistency. Asymptotic relative efficiency.
Bayes estimators. Sufficient statistics. Completeness. The exponential class. Confidence intervals. Test of
statistical hypotheses. Reliability and survival distributions. Practical applications. Practical statistical modelling
and analysis using statistical computer packages and the interpretation of the output."
null;null;null;null;Linear algebra 211;WTW 211;null;"This is an introduction to linear algebra on Rn. Matrices and linear equations, linear combinations and spans,
linear independence, subspaces, basis and dimension, eigenvalues, eigenvectors, similarity and diagonalisation
of matrices, linear transformations."
null;null;null;null;Calculus 218;WTW 218;null;"Calculus of multivariable functions, directional derivatives. Extrema and Lagrange multipliers. Multiple integrals,
polar, cylindrical and spherical coordinates."
null;null;null;null;Analysis 220;WTW 220;null;"Properties of real numbers. Analysis of sequences and series of real numbers. Power series and theorems of
convergence. The Bolzano-Weierstrass theorem. The intermediate value theorem and analysis of real-valued
functions on an interval. The Riemann integral: Existence and properties of the interval."
null;null;null;null;Differential equations 264;WTW 264;null;"Theory and solution methods for ordinary differential equations and initial value problems: separable and linear
first order equations, linear equations of higher order, systems of linear equations. Laplace transform."
null;null;null;3;Multivariate analysis 311;WST 311;null;"Multivariate statistical distributions: Moments of a distribution, moment generating functions, independence.
Multivariate normal distribution: Conditional distributions, partial and multiple correlations. Distribution of
quadratic forms in normal variables. Multivariate normal samples: Estimation of the mean vector and covariance
matrix, estimation of correlation coefficients, distribution of the sample mean, sample covariance matrix.
Principal component analysis.The linear model: Models of full rank, least squares estimators, test of
hypotheses.The generalised linear model: Exponential family mean and variance, link functions, deviance and
residual analysis, test statistics, log- linear and logit models. Practical applications: Practical statistical modelling
and analysis using statistical computer packages and interpretation of the output."
null;null;null;null;Stochastic processes 312;WST 312;null;"Definition of a stochastic process. Stationarity. Covariance stationary. Markov property. Random walk. Brownian
motion. Markov chains. Chapman-Kolmogorov equations. Recurrent and transient states. First passage time.
Occupation times. Markov jump processes. Poisson process. Birth and death processes. Structures of processes.
Structure of the time-homogeneous Markov jump process. Applications in insurance. Practical statistical
modelling, analysis and simulation using statistical computer packages and the interpretation of the output."
null;null;null;null;Time-series analysis 321;WST 321;null;"Stationary and non-stationary univariate time-series. Properties of autoregressive moving average (ARMA) and
autoregressive integrated moving average (ARIMA) processes. Identification, estimation and diagnostic testing
of a time-series model. Forecasting. Multivariate time-series. Practical statistical modelling and analysis using
statistical computer packages, including that of social responsibility phenomena."
null;null;null;null;Actuarial statistics 322;WST 322;null;"Bayes estimation. Loss distributions. Reinsurance. Risk models. Ruin theory. Credibility theory. Extreme value
theory. Copulas. Practical statistical modelling and analysis using statistical computer packages."
null;null;null;null;Financial engineering 354;WTW 354;null;"Mean variance portfolio theory. Market equilibrium models such as the capital asset pricing model. Factor
models and arbitrage pricing theory. Measures of investment risk. Efficient market hypothesis. Stochastic
models of security prices"
null;null;null;null;Financial engineering 364;WTW 364;null;"Discrete time financial models: Arbitrage and hedging; the binomial model. Continuous time financial models:
The Black-Scholes formula; pricing of options and the other derivatives; interest rate models; numerical
procedures."
null;null;BSc (Biochemistry);1;Biometry 120;BME 120;null;"Simple statistical analysis: Data collection and analysis: Samples, tabulation, graphical representation,
describing location, spread and skewness. Introductory probability and distribution theory. Sampling
distributions and the central limit theorem. Statistical inference: Basic principles, estimation and testing in the
one- and two-sample cases (parametric and non-parametric). Introduction to experimental design. One- and
twoway designs, randomised blocks. Multiple statistical analysis: Bivariate data sets: Curve fitting (linear and
non-linear), growth curves. Statistical inference in the simple regression case. Categorical analysis: Testing
goodness of fit and contingency tables. Multiple regression and correlation: Fitting and testing of models.
Residual analysis. Computer literacy: Use of computer packages in data analysis and report writing."
null;null;null;null;General chemistry 117;CMY 117;null;"General introduction to inorganic, analytical and physical chemistry. Atomic structure and periodicity. Molecular
structure and chemical bonding using the VSEOR model. Nomenclature of inorganic ions and compounds.
Classification of reactions: precipitation, acid-base, redox reactions and gas-forming reactions. Mole concept and
stoichiometric calculations concerning chemical formulas and chemical reactions. Principles of reactivity: energy
and chemical reactions. Physical behaviour gases, liquids, solids and solutions and the role of intermolecular
forces. Rate of reactions: Introduction to chemical kinetics."
null;null;null;null;General chemistry 127;CMY 127;null;"Theory: General physical-analytical chemistry: Chemical equilibrium, acids and bases, buffers, solubility
equilibrium, entropy and free energy, electrochemistry. Organic chemistry: Structure (bonding), nomenclature,
isomerism, introductory stereochemistry, introduction to chemical reactions and chemical properties of organic
compounds and biological compounds, i.e. carbohydrates and aminoacids. Practical: Molecular structure (model
building), synthesis and properties of simple organic compounds."
null;null;null;null;Introductory genetics 161;GTS 161;null;"Chromosomes and cell division. Principles of Mendelian inheritance: locus and alleles, dominance interactions,
extensions and modifications of basic principles.. Probability studies. Sex determination and sex linked traits.
Pedigree analysis. Genetic linkage and chromosome mapping. Chromosome variation."
null;null;null;null;Introduction to microbiology 161;MBY 161;null;"The module will introduce the student to the field of Microbiology. Basic Microbiological aspects that will be
covered include introduction into the diversity of the microbial world (bacteria, archaea, eukaryotic
microorganisms and viruses), basic principles of cell structure and function, microbial nutrition and microbial
growth and growth control. Applications in Microbiology will be illustrated by specific examples i.e.
bioremediation, animal-microbial symbiosis, plant-microbial symbiosis and the use of microorganisms in
industrial microbiology. Wastewater treatment, microbial diseases and food will be introduced using specific
examples."
null;null;null;null;Molecular and cell biology 111;MLB 111;null;"Introduction to the molecular structure and function of the cell. Basic chemistry of the cell. Structure and
composition of prokaryotic and eukaryotic cells. Ultrastructure and function of cellular organelles, membranes
and the cytoskeleton. General principles of energy, enzymes and cell metabolism. Selected processes, e.g.
glycolysis, respiration and/or photosynthesis. Introduction to molecular genetics: DNA structure and replication,
transcription, translation. Cell growth and cell division."
null;null;null;null;Physics for biology students 131;PHY 131;null;"Units, vectors, one dimensional kinematics, dynamics, work, equilibrium, sound, liquids, heat, thermodynamic
processes, electric potential and capacitance, direct current and alternating current, optics, modern physics,
radioactivity."
null;null;null;null;Mathematics 134;WTW 134;null;"Functions, derivatives, interpretation of the derivative, rules of differentiation, applications of differentiation,
integration, interpretation of the definite integral, applications of integration. Matrices, solutions of systems of
equations. All topics are studied in the context of applications."
null;null;null;null;Mathematics 165;WTW 165;null;"Functions, derivatives, interpretation of the derivative, rules of differentiation, applications of differentiation,
integration, interpretation of the definite integral, applications of integration, matrices, solutions of systems of
equations. All topics are studied in the context of applications"
null;null;null;null;Animal diversity 161;ZEN 161;null;"Animal classification, phylogeny organisation and terminology. Evolution of the various animal phyla,
morphological characteristics and life cycles of parasitic and non-parasitic animals. Structure and function of
reproductive,
respiratory, excretory, circulatory and digestive systems in various animal phyla. In-class discussion will address
the sustainable development goals #3, 12, 13, 14 and 15 (Good Health and Well-being. Responsible
Consumption and Production, Climate Action, Life Below Water, Life on Land)"
null;null;null;2;Introduction to proteins and enzymes 251;BCM 251;null;"Structural and ionic properties of amino acids. Peptides, the peptide bond, primary, secondary, tertiary and
quaternary structure of proteins. Interactions that stabilise protein structure, denaturation and renaturation of
proteins. Introduction to methods for the purification of proteins, amino acid composition, and sequence
determinations. Enzyme kinetics and enzyme inhibition. Allosteric enzymes, regulation of enzyme activity, active
centres and mechanisms of enzyme catalysis. Examples of industrial applications of enzymes and in clinical
pathology as biomarkers of diseases. Online activities include introduction to practical laboratory techniques and
Good Laboratory Practice; techniques for the quantitative and qualitative analysis of biological
molecules; enzyme activity measurements; processing and presentation of scientific data."
null;null;null;null;Carbohydrate metabolism 252;BCM 252;null;"Carbohydrate structure and function. Blood glucose measurement in the diagnosis and treatment of
diabetes. Bioenergetics and biochemical reaction types. Glycolysis, gluconeogenesis, glycogen metabolism,
pentose phosphate pathway, citric acid cycle and electron transport. Total ATP yield from the complete oxidation
of glucose. A comparison of cellular respiration and photosynthesis. Online activities include techniques for
the study and analysis of metabolic pathways and enzymes; PO ratio of mitochondria, electrophoresis,
extraction, solubility and gel permeation techniques; scientific method and design."
null;null;null;null;Introductory biochemistry 257;BCM 257;null;"Chemical foundations. Weak interactions in aqueous systems. Ionisation of water, weak acids and weak bases.
Buffering against pH changes in biological systems. Water as a reactant and function of water. Carbohydrate
structure and function. Biochemistry of lipids and membrane structure. Nucleotides and nucleic acids. Other
functions of nucleotides: energy carriers, components of enzyme cofactors and chemical messengers.
Introduction to metabolism. Bioenergetics and biochemical reaction types. Online activities include introduction
to laboratory safety and Good Laboratory Practice; basic biochemical calculations; experimental method design
and scientific controls, processing and presentation of scientific data."
null;null;null;null;Lipid and nitrogen metabolism 261;BCM 261;null;"Biochemistry of lipids, membrane structure, anabolism and catabolism of lipids. Total ATP yield from the
complete catabolism of lipids. Electron transport chain and energy production through oxidative
phosphorylation. Nitrogen metabolism, amino acid biosynthesis and catabolism. Biosynthesis of
neurotransmitters, pigments, hormones and nucleotides from amino acids. Catabolism of purines and
pyrimidines. Therapeutic agents directed against nucleotide metabolism. Examples of inborn errors of
metabolism of nitrogen containing compounds. The urea cycle, nitrogen excretion. Online activities include
training in scientific reading skills; evaluation of a scientific report; techniques for separation analysis and
visualisation of biological molecules; hypothesis design and testing, method design and scientific controls."
null;null;null;null;Molecular genetics 251;GTS 251;null;"The chemical nature of DNA. The processes of DNA replication, transcription, RNA processing, translation.
Control of gene expression in prokaryotes and eukaryotes. Recombinant DNA technology and its applications in
gene analysis and manipulation."
null;null;null;null;Genetic diversity and evolution 261;GTS 261;null;"Chromosome structure and transposable elements. Mutation and DNA repair. Genomics and proteomics.
Organelle genomes. Introduction to genetic analysis of populations: allele and genotypic frequencies, Hardy
Weinberg Law, its extensions and implications for different mating systems. Introduction to quantitative and
evolutionary genetics."
null;null;null;3;Macromolecules of life: structure-function and bioinformatics 356;BCM 356;null;"Structure, function, bioinformatics and biochemical analysis of (oligo)nucleotides, amino acids, proteins and
ligands – and their organisation into hierarchical, higher order, interdependent structures. Principles of structurefunction relationships, protein folding, sequence motifs and domains, higher order and supramolecular structure,
self-assembly, conjugated proteins, post-translational modifications. Molecular recognition between proteins,
ligands, DNA and RNA or any combinations. The RNA structural world, RNAi, miRNA and ribosomes. Cellular
functions of coding and non-coding nucleic acids. Basic principles of mass spectrometry, nuclear magnetic
resonance spectroscopy, X-ray crystallography and proteomics. Protein purification and characterisation
including, pI, molecular mass, amino acid composition and sequence. Mechanistic aspects and regulation of
information flow from DNA via RNA to proteins and back. Practical training includes hands-on nucleic acid
purification and sequencing, protein production and purification, analysis by SDS-PAGE or mass spectrometry,
protein structure analysis and 3D protein modelling."
null;null;null;null;Biocatalysis and integration of metabolism 357;BCM 357;null;"Regulation of metabolic pathways. Analysis of metabolic control. Elucidation of metabolic pathways with
isotopes. Metabolomics. Coordinated regulation of glycolysis/gluconeogenesis and glycogen
breakdown/synthesis. Overview of homone action. Metabolism of xenobiotics. Hormonal regulation of feul
metabolism. Metabolic adaptions during diabetes. Obesity and the regulation of body mass. Obesity, metabolic
syndrome and Type 2 diabetes (T2D). Management of T2D with diet, exercise and medication. Practical sessions
cover tutorials on case studies and biochemical calculations, and hands-on isolation of an enzyme,
determination of pH and temperature optima, determination of Km and Vmax, enzyme activation and enzyme
inhibition."
