University;Faculty;Qulification;Year;Modules;Module Code;SAQA credits;Description
null;null;null;null;Research Principles IV and Project;RPH408P;30;This module which prepares the student to demonstrate knowledge of and engagement in the advanced aspects of research principles and techniques at the forefront related to a particular medical field of study or specialisation. Students should further be able to demonstrate understanding of the analysis and interpretation of research results, the structure and composition of a research report, as well as publications and presentations Students will gain knowledge in the use of specialised skills to identify, analyse and address abstract problems related to a research project in a field of study or specialisation, as well as to incorporate body of knowledge and methods during the problem solving process. On completion of this module, students should show their ability to present and communicate scientific research results to a range of audiences in the format of a research article for a given journal, poster design, as well as in the form of a verbal and visual research presentation.
null;null;null;null;Radiographic Practice IV;RPT408P;24;This module prepares the student to acquire, apply, integrate, and demonstrate in depth forefront knowledge of a range of advanced imaging modalities, including Computerized Tomography, Angiography and Interventional Procedures and Ultrasound, as well as associated advanced technology in the field of Diagnostic Radiography, which are required at this level and also required for the student to become a highly skilled qualified diagnostic radiographer who can work independently
null;null;null;null;Sectional Anatomy and Pattern Recognition IV;SAP408P;12;This module prepares the student to acquire, apply, integrate, and demonstrate in depth forefront knowledge of Sectional Anatomy of different regions of the body as demonstrated on CT and MRI images, as well as to recognize abnormal radiographic patterns associated with diseases demonstrated on these images. The module will furthermore prepare the student to acquire, apply, integrate, and demonstrate in depth forefront knowledge of radiographic pattern recognition to distinguish between normal and a wide range of abnormal radiographic patterns associated with a variety of diseases. The student will be able to apply his/her knowledge of mentioned components of the module in the field of Diagnostic Radiography.
null;null;DIPLOMA IN EQUINE SCIENCE;1;Entrepreneurship I;ENT115D;12;Students will acquire knowledge, skills and competence in various types of businesses, management functions, budgeting, accounting, administration, banking, personnel management, customer relations and entrepreneurship including drafting a business plan. These skills will assist entrepreneurs in successfully starting and running a business.
null;null;null;null;Pasture Science I;PAE115D;12;"An informed understanding of natural and planted pastures for the nutrition of farm animals is important in livestock improvement. Students will acquire knowledge, skills and applied competencies in the following areas: Plant morphology, growth and development; Natural pastures; Plant nutrition and fertilisation; Pasture establishment and management; Fodder conservation; Environmental effects; Weeds and poisonous plants; Pasture production systems; applicable Acts and regulations; and how that knowledge relates to other fields, disciplines or practices."
null;null;null;null;Animal Breeding and Genetics I;ABG115D;12;"An informed understanding of the principles of animal breeding and genetics is important for livestock improvement. Students will acquire knowledge, skills and applied competencies in areas such as: basic concepts of animal breeding and genetics, qualitative and quantitative traits of inheritance, population genetics and evolution, selection methods, breeding programmes and mating systems, molecular genetics, Animal Improvement Schemes; applicable Acts and regulations; and how that knowledge relates to other fields, disciplines or practices"
null;null;null;null;Stable Management I;SMA115D;12;"Students are capacitated with a detailed knowledge of equine stable management and horse husbandry principles and practice. Students will acquire knowledge, skills and applied competencies in areas such as: Stable complex design and construction; Equestrian training and riding arenas design and construction; Paddock management and field-kept horses; Modern equine stable management principles and practice; Care of stable-kept horses and organisation of equestrian facilities; Equine and equestrian enterprise administration and record keeping; Equine and equestrian enterprise personnel management; and how that knowledge relates to other fields, disciplines or practices."
null;null;null;2;Equine Nutrition II;EQN216D;12;"Students will acquire knowledge, skills and applied competencies in areas such: Nutritional physiology and body condition scoring; Determination of requirements for protein, energy, carbohydrates, acid and neutral detergent fibre, vitamins and minerals; Nutrient provision: protein, energy, fibre and raw material processing; Commercial rations/simple ration formulation and calculation; Feeding management responses: rates of passage, glycaemic response, fermentation kinetics; Exercise physiology and feeding strategies for sport horses; Nutritionally induced and metabolic disorders, and neutraceuticals; and how that knowledge relates to other fields, disciplines or practices"
null;null;null;null;Farriery II;FAR216D;12;"Students are capacitated with detailed knowledge of horse husbandry principles and practice specific to the field of equine hoof care and principles of horseshoeing. Students will acquire knowledge, skills and applied competencies in areas such as: The history of horseshoeing and the evolution of modern farriery practices; Anatomy and physiology of the distal equine fore- and hind limb; Pathology of the equine foot; Farriery tools, equipment and horseshoeing accessories; Types of horseshoes, shoe-making and styles of horseshoeing; The practice of trimming and the principles of horseshoeing; and how that knowledge relates to other fields, disciplines or practices."
null;null;null;null;Mare and Foal Management II;MFM216D;12;"Students are capacitated with a detailed knowledge of equine stable management and horse husbandry principles and practice. Students will acquire knowledge, skills and applied competencies in areas such as: Mare reproductive biology and endocrinology; Broodmare selection practices; Mare infertility; Natural and assisted reproductive techniques; Parturition, dystocia and care of the neonatal foal; Managing the weanling, yearling and the lactating mare; and how that knowledge relates to other fields, disciplines or practices"
null;null;null;null;Stallion Management II;STM216D;12;"Students are capacitated with a detailed knowledge of equine stable management and horse husbandry principles and practice. Students will acquire knowledge, skills and applied competencies in areas such as: Stallion reproductive biology and semen evaluation; Stallion selection practices and applied theories; Stallion infertility and impotency; Stallion management protocols for reproductive efficiency and welfare of breeding stock; Breeding methods and procedures; Semen preservation techniques and protocols for transportation; and how that knowledge relates to other fields, disciplines or practices."
null;null;null;3;WIL in Equine Sciences I;WEQ306D;120;"A scientific body of knowledge within an international, but mainly in a South African context; and how that knowledge relates to other fields, disciplines or practices. Upon completion of the module, the student will be able to function in a working environment, which can include equine breeding operations, competitive and/ or instructional stable yards, ecotourism and equine health care facilities as well as research or any relevant work environment associated in the cognitive field."
null;null;DIPLOMA IN BIOTECHNOLOGY;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc.
null;null;null;null;Chemistry I;CHM105X;24;The role and importance of chemistry in everyday life. Classification and properties of matter. Units of measurement. Atoms, molecules and ions. The modern view of atomic structure and the use of electron configurations in chemical bonding. The periodic table of elements. The use of IUPAC rules for naming inorganic compounds. Application of the mole concept in stoichiometric calculations. Reactions in aqueous solutions. Chemical equilibrium. Fundamental concepts in electrochemistry. Organic nomenclature. (
null;null;null;null;Computer Literacy;CPL105X;10;This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3).
null;null;null;null;General Mathematics I;GMA105D;24;"Do numerical computations. Apply knowledge of mensuration to calculate perimeters, areas and volumes of two- and three-dimensional objects. Apply knowledge of functions and equations to solve well-defined problems. Use basic calculus rules to solve well-defined problems. Use Excel to organise given data in charts and calculate descriptive measures. Do basic regression analysis and curve fitting using Excel and a scientific calculator; and Implement basic probability theories to predict outcomes of events."
null;null;null;null;General Physics I;GPH105D;24;Basic mathematical concepts for physics and measurements. Motion in one dimension. Motion in a plane (projectile motion). Forces and Newton’s Law of Motion. Equilibrium condition and torque. Work, energy and power. Linear momentum and impulse. Properties of static and dynamic fluids. Temperature and heat. Heat transfer. General properties of waves. Reflection. Refraction. Electrostatics. Electric circuits. Basic nuclear physics.
null;null;null;null;Information Literacy I;INI125D;2;Introduction of information literacy. Development of a search strategy and application of a search string to search engines and academic databases. Evaluation of information sources. Ethical and legal use of information.
null;null;null;null;Life Skills I;LFI125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management"
null;null;null;null;Microbiology I;MIB105D;24;History and scope of Microbiology. The study of microbial structure. Prokaryotic cell structure and function. Microbial nutrition. Microbial growth. The control of microorganisms by physical and chemical agents. Viruses and other acellular agents. Infection and pathogenicity. Eukaryotic cell structure and function. Fungi. Protists. Microbiology of air
null;null;null;2;Bioanalytical Chemistry II;BAC216D;12;Introduction to Bioanalytical Chemistry. The role and importance of analytical chemistry in everyday life. Perform analytical chemistry calculations. Calculate the amount required to prepare accurate concentrations of solutions. Apply titration method to quantify the content of acid or a base. Apply appropriate procedure to determine unknown analyte quantity in a given sample. Identify and explain the functions of the components of spectrophotometer and chromatographic instrument. Apply the fundamental laws of photometry to solve spectroscopic problems. Separate and identify analytes by applying appropriate chromatographic principles. Compile and present report
null;null;null;null;Biochemistry II;BCH216D;12;The Organisation of a cell. Molecular structure of amino acids and proteins. Enzyme Kinetics. Carbohydrates. Lipids. Nucleic acids. Reagents, pH and buffers.
null;null;null;null;Process Technology and Management I;PEM216D;12;Units, dimensions and definitions. Material balances. Energy and Energy balances. Steam and Steam tables. Psychrometrics. Fluid flow and properties.
null;null;null;null;Biotechnology Cultivation Technology II;BCT216D;18;Isolation of Microorganisms. Microbial growth. Screening of microorganisms. Setting up a fermentation laboratory – Instrumentation. Bioreactors. pH and dissolved oxygen sensors. Sterilisation. Inoculum development. Fed batch and continuous cultures. Product recovery. Fermentation economics.
null;null;null;null;Microbial Biochemistry II;MBC216D;12;The module prepares the student to apply fundamental and specialised knowledge of biological chemistry in the field of biotechnology. The student will be able to apply his/her knowledge of structural biochemistry, metabolism of carbohydrates, proteins and lipids, as well as photosynthesis. This module offers a clear understanding of microbial metabolism and behaviour, central to proper functioning in a biotechnology field, ensuring productivity and skilful resolution of problems.
null;null;null;null;Microbial Taxonomy II;MBT216D;15;Introduction to microbial taxonomy. Fundamentals of taxonomy including identification, classification and nomenclature. Classification systems. Phylogenetic. Phenetic. Levels of classification. Evolutionary processes and the species concept. The three-domain alternative. The kingdom systems (5 and 7). The concept and definition of microbial species. The groups of techniques applied in taxonomy. The classical characteristics. Ecological. Biochemical, Physiological. Molecular based techniques. Microbial phylogeny. Phylogenetic trees. Molecular markers. Endosymbiotic theory. Bergey's manual.
null;null;null;3;Bioanalytical Chemistry III;BAC316D;12;Calculations in Analytical Chemistry. Introduction to Spectrochemical methods. Atomic Absorption Spectrometry. Molecular Spectrometry. Sample preparation. General principles of Gas Chromatography, general principles of Liquid Chromatography
null;null;null;null;Food Microbiology III;FOM316D;15;Importance of food microbiology, microbial and mycological spoilage of food, factors influencing microbial spoilage of foods will covered including: Microbial growth, survival and death. Spores and their significance. Detection and enumeration of microbes in food. Indicator microorganisms and microbiological criteria. Gram negative foodborne pathogenic bacteria. Gram positive foodborne pathogenic bacteria and other detrimental organisms associated with food. Microorganisms used in fermented foods. Spoilage organisms. Molds. Chemical preservatives.
null;null;null;null;Microbial Bioprocessing III;MBP316D;18;The module introduces the student to Bioprocesses using microorganisms, covering concepts such as beer brewing, using microorganisms to treat sewage, fermented foods, production of amino acids, Single Cell Protein production, microbial enzymes and yeast production. The unit facilitates the student to apply basic knowledge acquired in the fundamental modules to bioprocesses used worldwide through group work, presentations and/ or scientific reports.
null;null;null;null;Medical Microbiology III;MMB316D;15;"Upon completion of the module, the student will be able to define, characterise, discuss and observe factors related to microorganisms, their control, as well as their influence on humans and the environment in the field of medical microbiology (such as infection and pathogenicity of microorganisms, non-specific host resistance, specific immunity, antimicrobial chemotherapy, clinical microbiology, epidemiology of infectious diseases and public health, human diseases caused by: viruses and prions, gram-positive and gram-negative bacteria, other bacteria (chlamydiae, mycoplasmas, rickettsias; dental and nosocomial infections), as well as diseases caused by fungi and protozoa"
null;null;DIPLOMA IN FOOD TECHNOLOGY;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc
null;null;null;null;Chemistry I;CHM105X;24;The role and importance of chemistry in everyday life. Classification and properties of matter. Units of measurement. Atoms, molecules and ions. The modern view of atomic structure and the use of electron configurations in chemical bonding. The periodic table of elements. The use of IUPAC rules for naming inorganic compounds. Application of the mole concept in stoichiometric calculations. Reactions in aqueous solutions. Chemical equilibrium. Fundamental concepts in electrochemistry. Organic nomenclature.
null;null;null;null;Computer Literacy;CPL105X;10;This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3).
null;null;null;null;General Mathematics I;GMA105D;24;"Do numerical computations. Apply knowledge of mensuration to calculate perimeters, areas and volumes of two- and three-dimensional objects. Apply knowledge of functions and equations to solve well-defined problems. Use basic calculus rules to solve well-defined problems. Use Excel to organise given data in charts and calculate descriptive measures. Do basic regression analysis and curve fitting using Excel and a scientific calculator; and Implement basic probability theories to predict outcomes of events."
null;null;null;null;General Physics I;GPH105D;24;Basic mathematical concepts for physics and measurements. Motion in one dimension. Motion in a plane (projectile motion). Forces and Newton’s Law of Motion. Equilibrium condition and torque. Work, energy and power. Linear momentum and impulse. Properties of static and dynamic fluids. Temperature and heat. Heat transfer. General properties of waves. Reflection. Refraction. Electrostatics. Electric circuits. Basic nuclear physics.
null;null;null;null;Information Literacy I;INI125D;2;Introduction of information literacy. Development of a search strategy and application of a search string to search engines and academic databases. Evaluation of information sources. Ethical and legal use of information.
null;null;null;null;Life Skills I;LFI125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management."
null;null;null;null;Microbiology I;MIB105D;24;History and scope of Microbiology. The study of microbial structure. Prokaryotic cell structure and function. Microbial nutrition. Microbial growth. The control of microorganisms by physical and chemical agents. Viruses and other acellular agents. Infection and pathogenicity. Eukaryotic cell structure and function. Fungi. Protists. Microbiology of air.
null;null;null;null;Food Technology Preservation I;FTP115D;12;Introduction to Food Science and Technology as a discipline. Characteristics of the Food Industry. Constituents of Foods: Properties and Significance. Nutritive Aspects of Food Constituents. Unit Operations in Food Processing. Quality Factors in Foods. Food Deterioration and its Control. Heat Preservation and Processing. Cold Preservation and Processing. Food Dehydration and Concentration. Fermentations and other Uses of Microorganisms. Report Writing and Scientific Referencing. Metric system and formulations conversions
null;null;null;2;Bioanalytical Chemistry II;BAC216D;12;Introduction to bioanalytical chemistry. The role and importance of analytical chemistry in everyday life. Perform analytical chemistry calculations. Calculate the amount required to prepare accurate concentrations of solutions. Apply titration method to quantify the content of acid or a base. Apply appropriate procedure to determine unknown analyte quantity in a given sample. Identify and explain the functions of the components of spectrophotometer and chromatographic instrument. Apply the fundamental laws of photometry to solve spectroscopic problems. Separate and identify analytes by applying appropriate chromatographic principles. Compile and present report
null;null;null;null;Biochemistry II;BCH216D;12;The Organisation of a cell. Molecular structure of amino acids and proteins. Enzyme Kinetics. Carbohydrates. Lipids. Nucleic acids. Reagents, pH and buffers.
null;null;null;null;Food Chemistry II;FCM216D;12;Study of the major chemical components of food, the chemical changes they undergo during processing and storage and methods used to analyse them. Major chemical components include: sugars. Polysaccharides, lipids, proteins, colours, flavours, water, and Laboratory safety and rules. Guidelines for practical report writing.
null;null;null;null;Microbial Taxonomy II;MBT216D;15;Introduction to microbial taxonomy. Fundamentals of taxonomy including identification, classification and nomenclature. Classification systems. Phylogenetic. Phenetic. Levels of classification. Evolutionary processes and the species concept. The three-domain alternative. The kingdom systems (5 and 7). The concept and definition of microbial species. The groups of techniques applied in taxonomy. The classical characteristics. Ecological. Biochemical, Physiological. Molecular based techniques. Microbial phylogeny. Phylogenetic trees. Molecular markers. Endosymbiotic theory. Bergey's manual.
null;null;null;3;Food Industry Management I;FIM316D;12;Introduction to business and its challenges. The business environment. The task of management. Operations management. Logistics management. Financial management. Human resources management. Marketing management. Entrepreneurship. The business plan.
null;null;null;null;Food Microbiology III;FOM316D;15;Importance of food microbiology, microbial and mycological spoilage of food, factors influencing microbial spoilage of foods will covered including: Microbial growth, survival and death. Spores and their significance. Detection and enumeration of microbes in food. Indicator microorganisms and microbiological criteria. Gram negative foodborne pathogenic bacteria. Gram positive foodborne pathogenic bacteria and other detrimental organisms associated with food. Microorganisms used in fermented foods. Spoilage organisms. Molds. Chemical preservatives.
null;null;null;null;Food Process Engineering I;FPE316D;12;Units, dimensions and definitions. Material balances. Energy and Energy balances. Steam and Steam tables. Psychrometrics. Fluid flow and properties.
null;null;null;null;Food Quality Assurance I;FQA316D;15;Introduction to food quality assurance. Quality concepts and terminology. Defining food quality. Customer requirements. Customer feedback and service. Product specifications. Food labelling and shelf life. Good Manufacturing Practices (GMP). HACCP and microbiological control. Managing the organisation. ISO 9000 and ISO 14001. Verification and plant inspection. Continuous improvement.
null;null;DIPLOMA IN CROP PRODUCTION;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc.
null;null;null;null;Botany I;BOT105D;24;The role of plants in the living world. The plant Kingdom, endemic, indigenous, exotic, history and development. Plant classification. Classification systems. Morphology of higher plants. Seed, roots, stems, leaves, inflorescences, flowers, fruit. Anatomy of higher plants. Plant cells and cellular components, roots, stems and leaves. Plant physiology. Photosynthesis, respiration. Transpiration and water movement in the plant. Transpiration and water movement, mineral uptake and sugar translocation
null;null;null;null;Computer Literacy;CPL105X;10;(Module custodian: End User Computing Unit) This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3).
null;null;null;null;Information Literacy I;INI125D;2;Introduction of information literacy. Development of a search strategy and application of a search string to search engines and academic databases. Evaluation of information sources. Ethical and legal use of information.
null;null;null;null;Life Skills I;LFI125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management."
null;null;null;null;Mathematics and Statistics I;MAS105X;12;Numerical computations, mensuration, equations, functions, descriptive statistics, linear regression and curve fitting.
null;null;null;null;Science for Occupational Purpose I;SOR105D;12;The role and importance of chemistry in everyday life. Classification and properties of matter. Atoms, molecules and ions. General properties of aqueous solutions and reactions in aqueous solutions. Motion. Forces. Energy and power. Density. Pressure. Temperature and heat. Basic Electricity. Basic Magnetism. Waves.
null;null;null;null;Agricultural Economics I;AGE115D;12;Description of the South African agricultural environment. Role-players in the South African agricultural industry.
null;null;null;null;Agricultural Mechanisation I;AGM115D;12;Principles and operation of the basic power units applicable to agriculture.
null;null;null;null;Crop Production I;CPR115D;12;An introduction to crop production. Factors influencing the adaptability of crops. The principles of different cultivation practices and crop improvement. Calculations regarding planting dates, crop potential, fertilisation, plant population, yields, calibration of implements.
null;null;null;null;Crop Protection I;CPT115D;12;Basic entomology: a review of the morphology, development, reproduction, biology and classification of insects and mites, and collection and mounting of insect specimens. Plant pathology: a review of symptoms and the classification of plant diseases, the classification and biology of the different groups of plant pathogens, the disease cycle, the dissemination of plant pathogens. A review of the biology of weeds and methods of weed control: chemical weed control regarding classification, choice and the effectivity of herbicides.
null;null;null;null;Soil Science I;SOS115D;12;Basic principles of chemistry: a basic introduction to the structure of an atom and the properties of the periodic table, including the naming of inorganic compounds, properties and the influence of soil pH on nutrient availability with special emphasis on the sources and properties of different fertilisers used.
null;null;null;2;Crop Protection II;CPT206D;24;Pest control: a review of various pesticides, the use of standard reference material, a review of various pest control methods, the biology and control of known South African agricultural pests. Disease control: a review of different disease management strategies, separation of host and pathogen, cultural control, biological control, physical control, immunisation and resistance, and chemical control, with appropriate examples. Pathogen resistance: mechanisms of resistance and management of resistance. Application: a review of the different types of application equipment and the principles of application, and calibration of application equipment, with appropriate examples. Legislation and the safe use of agrochemicals: discussion of Fertilizers, Farm Feeds, Agricultural Remedies and Stock Remedies Act, 1947 (Act No. 36 of 1947) and Hazardous Substances Amendment Act, 1992 (Act No. 53 of 1992) and various other important agricultural laws relating to pest control, a review of the safe use of agrochemicals.
null;null;null;null;Field Crops II;FLC206D;21;Introduction to the industry of field crops. Cultural practices. Climatic requirements of field crops. Alternative field crops. Classification of field crops. Harvesting of field crops. Yield, quality and its maintenance. Sunflower production. Soya bean production. Potato production. Lucerne production.
null;null;null;null;Fruit Production II;FRP206D;21;An introduction to the South African fruit industry and the classification of the fruit. Important climatic factors for fruit production. Establishment and maintenance of the orchard. Structure growth development and production of tree fruit, maturity indices for harvesting, basics of harvesting, field handling and determining the fruit quality parameters with an emphasis of popular temperate fruit.
null;null;null;null;Soil Science II;SOS206D;21;Part A: Plant nutrients. Microorganisms and plant nutrition. Fertiliser recommendations. Irrigation. Part B: Soil forming processes. Soil classification. Soil surveys. Land capability and its assessment. Farm planning.
null;null;null;null;Vegetable Production II;VGP206D;21;Vegetable production planning. Vegetable classification. Seed quality and germination. Seed treat-ments and manipulation. Soil preparation. Seedling production. Transplanting. Vegetable production systems. Fertilisers and fertigation. Irrigation and mulching. Vegetable production under protection. Vegetable crop rotation, hygiene, and crop protection. Quality and marketing management. Vegetable production (Tomato, beetroot, lettuce, cabbage, onions and pumpkins)
null;null;null;3;WIL in Crop Production I;WCP306D;120;A practical internship of one semester at an approved agriculture-related enterprise. A report on the internship, as well as tasks relating to the specialisation field of the student. An oral examination is taken at the end of the period.
null;null;DIPLOMA IN ENVIRONMENTAL SCIENCES;1;Applied Environmental Practice I;AEP115D;6;Essay writing. Site visit. Mapping and geographical positioning system.
null;null;null;null;Environmental Biology I;EVB115D;6;Terrestrial and aquatic ecosystems. Functioning and importance of ecosystems. Threats to ecosystems. Biomes of South Africa. South Africa’s flora. South Africa’s fauna.
null;null;null;null;Environmental Earth Studies I;EVE115D;6;Understand how the earth was formed. Know the solar system. Discuss the origin and function of the earth’s magnetic field. Understand observations that led to the theory of plate tectonics. Discuss tectonic activities at different plate boundaries and how the impact on the different components of the environment i.e. hydrosphere, lithosphere, biosphere and atmosphere. Relate formation of sedimentary, igneous and metamorphic rocks to the different plate tectonics processes. Identify different minerals in hand specimen. Classify minerals on the basis of their chemistry. Relate chemistry of minerals to the impact they are likely to have on the environment.
null;null;null;null;Environmental Management I;EVM115D;6;Air pollution. Climate change. Water pollution. Renewable Energy. Human Population and Impacts on the environment. Sustainable cities.
null;null;null;2;Applied Environmental Practice II;AEP206D;20;"Scientific report writing. Learn to select appropriate tools and techniques in creating or editing graphics within a
guided environment. Demonstrate detailed knowledge of and the ability to use the key terms, concepts, facts,
principles, theories of how remote sensing works. Distinguish between possible areas of specialisation within
the field of remote sensing and understand how remote sensing can be used in environmental monitoring and
geographical information systems (GIS). Detailed knowledge and the ability to apply key terms, concepts, facts,
principles, rules and theories in the field of geographical information systems and an understanding of how it is
related to other closely related fields like geology, town planning, botany, hydrology and climatology. Evaluate
a geospatial problem, select and apply appropriate geographic information system (GIS) methods, procedures
and techniques to identify and apply geospatial analysis. Demonstrate the ability to identify, analyse and solve
problems in unfamiliar contexts like a site visit to a greenfields or brownfields site where a development is
proposed to occur, gathering relevant evidence of the current biotic and abiotic environmental conditions and
applying baseline assessment procedures to make informed recommendations on how the development should
be managed."
null;null;null;null;Environmental Legal Practice II;ELP206D;20;Sources and branches of law. The Constitution of South Africa. Basic environmental legal principles in South Africa. Water law in South Africa. Biodiversity law in South Africa. Air pollution management law in South Africa. Laws for EIAs in South Africa. Waste law in South Africa. Law on Rehabilitation and Soils in South Africa. Law on Energy Creation and Use in South Africa.
null;null;null;null;Environmental Pollution Science II;EPS206D;20;Introduction to air, water and soil pollution. Potable water and wastewater treatment. Introduction to thermal pollution. Introduction to waste management. Introduction to emerging persistent pollutants (EPP). Experimental component: sampling inorganic trace metals from environmental media and determining their concentration.
null;null;null;null;Environmental Biology II;EVB206D;20;Ecological principles. Organisms and the physical environment. Population ecology. Population’s exploitation. Population’s restoration and control.
null;null;null;null;Environmental Earth Studies II;EVE206D;20;Understand how the Earth is layered and how these layers influence the resulting rock. Apply their knowledge of weathering and products in understanding the behaviour of metals in the environment. Determine and monitor the flow of groundwater. Determine the sources of groundwater contamination and put in place mitigation plans. Discuss tectonic activities at different plate boundaries and how the impact on the different components of the environment i.e. hydrosphere, lithosphere, biosphere and atmosphere. Relate formation of sedimentary, igneous and metamorphic rocks to the different plate tectonics processes. Identify different rock samples in hand specimen. Classify rocks on the basis of their mineral composition, fabrics and chemistry. Relate chemistry of minerals to their likely impact on the environment.
null;null;null;null;Environmental Management II;EVM206D;20;Define Integrated Environmental Management. Differentiate between Strategic Environmental Assessment and an Environmental Impact Assessment (EIA). Differentiate between a full EIA and Basic assessment process. Demonstrate an ability to compile a Basic Assessment using the provided template. Define Social Impact Assessment. Outline the SIA process and the legal mandate. Discuss the advantages of SIA. Describe the four stages of a Life Cycle Assessment. Discuss the benefits and limitations of LCA. Demonstrate knowledge of relevant terminology for Risk Assessment i.e. risk assessment, risk exposure, hazard. Describe the risk assessment process. Define relevant terminology, i.e. biocapacity, ecological footprint, ecological overshoot. Demonstrate knowledge of calculating ecological footprint.
null;null;null;3;Applied Environmental Practice III;AEP316D;15;Air dispersion modelling. Demonstrate detailed knowledge of Geographic Information Systems (GIS) and the ability to apply its key terms, concepts, facts, principles, rules and theories. Use Geographic Information Systems (GIS) for the investigation of environmental problems with a view to finding appropriate solutions to those problems. Identify, analyse and solve problems with new unfamiliar developments or projects, gathering evidence and applying solutions based on evidence and procedures appropriate to the field of Environmental Impact Assessment (EIA) or Strategic Environmental Assessment (SEA) in environmental science. Demonstrate the ability to evaluate different sources of information, to select information appropriate to the task of Strategic Environmental Assessment (SEA) or Environmental Impact Assessment (EIA) and to apply well-developed analysis, synthesis and evaluation of that information.
null;null;null;null;Environmental Pollution Science III;EPS316D;15;Advanced approaches to air, water, noise and soil pollution. Advanced approaches to wastewater treatment technologies. Advanced approaches to waste management.
null;null;null;null;Environmental Biology III;EVB316D;15;Population genetics. Conservation genetics. Local and regional phylogenetics. Evolution.
null;null;null;null;Environmental Management III;EVM316D;15;Define Integrated Environmental Management. Differentiate between Strategic Environmental Assessment and an Environmental Impact Assessment (EIA). Differentiate between a full EIA and Basic assessment process. Demonstrate an ability to compile a Basic Assessment using the provided template. Define Social Impact Assessment. Outline the SIA process and the legal mandate. Discuss the advantages of SIA. Describe the four stages of a Life Cycle Assessment. Discuss the benefits and limitations of LCA. Demonstrate knowledge of relevant terminology for Risk Assessment i.e. risk assessment, risk exposure, hazard. Describe the risk assessment process. Define relevant terminology, i.e. biocapacity, ecological footprint, ecological overshoot. Demonstrate knowledge of calculating ecological footprint.
null;null;DIPLOMA IN GEOLOGY;1;Entrepreneurship I;ENT115D;12;Students will acquire knowledge, skills and competence in various types of businesses, management functions, budgeting, accounting, administration, banking, personnel management, customer relations and entrepreneurship including drafting a business plan. These skills will assist entrepreneurs in successfully starting and running a business.
null;null;null;null;Geology I;GEO115D;6;(Module custodian: Department of Environmental, Water and Earth Sciences) Solar system, gravity and the earth. Continental drift theory. Structure of the earth. Divergent plate boundaries. Convergent plate boundaries. Transform plate boundary. Definition of a mineral and chemical properties of minerals. Mineral habit and crystal forms of minerals. The six mineral crystallographic axes. Physical properties of minerals. Identifying minerals in hand specimen.
null;null;null;null;Geological Maps I;GMG115D;6;Introduction to map work. Map scales. Topographic profiles. Geological Sections. Geological Traverse and mapping.
