University of Free State;Faculty;Qualification;Year;Modules;Module Code;SAQA credits;Description
null;null;"MASTERS OF SCIENCES MAJORING IN ENVIRONMENTAL MANAGEMENT 
";1st Year;"Research methods (Year module) 
Introduction to Sustainability
Environmental Impact Assessment 
Environmental Management Systems
Mini-dissertation";"ENMT7905
ENMT7935
ENMT7965
ENMT7985
ENMT7900 (Year module)";180 credits;"This degree is important because of the national interests to continue producing highly trained graduates in environmental management. The National Development Plan 2030 emphasises the importance of
sustainable economic development that reduces poverty without degrading natural resources. horeover, many international sustainability commitments (such as the Convention on Biological Diversity and the
Sustainable Development Goals) stress the importance of holistic development that integrates social, environmental and economic considerations. Some of these commitments are up for mid-term review in
2020, so it is important that this qualification includes these new advances.
South Africa is uniquely positioned as a rapidly developing country as part of the BRICS nations. This means that our country is positioned mid-way along a development trajectory, which means that we aspire
to reach the developed standards of Europe and North America, while simultaneously serving as a role model for less developed countries in sub-Saharan Africa. This degree will distinguish itself by being a
structured and part-time programme that is specifically designed for young professionals who aim to further their studies while continuing to work."
null;null;MASTER OF SCIENCE IN AGRICULTURE;1st Year;"Agrometeorology 
Animal Nutrition 
Plant Pathology 
Agrometeorology Interdisciplinary 
Animal Physiology 
Plant Pathology Interdisciplinary 
Agronomy 
Food Science 
Soil Science 
Agronomy Interdisciplinary 
Grassland Science 
Soil Science Interdisciplinary 
Animal Breeding 
Plant Breeding 
Wildlife Science 
Animal Science 
Plant Breeding Interdisciplinary";"CLIM8900
ANIN8900
PPLG8900
CLMI8900
ANIP8900
PPLI8900
CROP8900 
FSCI8900
SOIL8900
CROI8900
GRAS8900 
SOII8900
ANIB8900 
PLTB8900
WILD8900
ANIG8900
PLTI8900";180 credits;"These learning programmes aim at:
• providing the student with the opportunity to present evidence of advanced study and research characterised by intellectual independence and advanced knowledge of a specialisation area in the subject, as
well as accurate assessment of his/her own results and that of others by production of a thesis which places his/her research in broader context and which is capable of withstanding international intellectual
scrutiny
• developing the student in order to demonstrate knowledge and understanding of supervised planning and execution of a research project in the discipline. This project includes hypothesis formulation,
collecting appropriate experimental materials, optimising techniques and procedures, data acquisition, analysis and interpretation of results, and writing of a dissertation according to a structured format
and related literature"
null;null;MASTERS DEGREE OF URBAN AND REGIONAL PLANNING;1st Year;Dissertation;URMD8900;180 credits;"These learning programmes aim to:
(a) Provide the student with the opportunity to present evidence of advanced study and research characterised by intellectual independence and advanced knowledge of a specialisation area in the subject, as
well as accurate assessment of his/her own results and as well as that of others by production of a thesis which places his/her research in broader context and which is capable of withstanding international
intellectual scrutiny.
(b) Develop the student to be able to demonstrate knowledge and understanding of supervised planning and execution of a research project in the discipline. This project includes hypothesis formulation, collecting appropriate experimental materials, optimising techniques and procedures, data acquisition, analysis and interpretation of results, and writing of a dissertation according to a structured format and
related literature.
A student must do research on an approved topic in consultation with the academic programme director for at least one year, in preparation of a full dissertation that shall be submitted as the only requirement for the degree. In certain circumstances, the academic programme director may require or allow additional subjects to be taken to fill a skills or knowledge gap."
null;null;MASTER OF URBAN AND REGIONAL PLANNING;1st Year;"Geographic Information Systems for Planners 
Research in Theory of Planning 
Applied Regional Planning Project 
Urban Research Project 
Research proposal
Professional Practice in Urban and Regional Planning 
Research Methodologies for Planners URMD7900 Extended Research Essay";"URGI7904 
URPT7904 
URRP7906
URUP7906
URDP7912
URPP7924
URRM7914/URRM7924";"204 credits
16
16
24
24
8
16
16
88";"The capacity to complete practical urban and regional planning projects including spatial frameworks, development plans and
layouts,
• The capacity to analyse issues from a theoretical and/or empirical perspective and to recommend suitable alternatives,
• The capacity to communicate clearly and logically, write good planning and research reports, and debate these with stakeholders,
• The ability to critically evaluate in"
null;null;DOCTOR OF PHILOSOPHY (ARCHITECTURE);1st Year;null;null;null;"The aim of the Doctor of Philosophy in Architecture is to provide an opportunity to students to present extensive research, innovative research in design processes, techniques and tacit
knowledge, and publications with a specific focus within the field of architecture. Two PhD programmes are offered by the Department of Architecture."
null;null;Architecture;1st Year;null;ARCH9100;null;"After successfully completing the thesis, the PhD (Architecture) graduate would be able to:
• do independent research on the highest international level by applying and implementing
original and highly specialised knowledge of the area of architecture
• Produce a dissertation that place research within the broader context of the field and
which will be recognised internationally as a significant contribution."
null;null;Architecture with Design;1st Year;null;ARCD9100;null;"After successfully completing the thesis, the PhD (Architecture) graduate would be able to:
• Do independent research on the highest international level by applying and implementing
original and highly specialised knowledge of the creative processes of architectural
design, and the design nature of architecture
• Create
o a portfolio of innovative architectural design processes, techniques and tacit
knowledge demonstrating expertise, and
o an exegesis on the creative processes, techniques and knowledge of architectural
design."
null;null;Masters of science;null;null;null;null;"These learning programmes aim at:
(a) providing the candidate with the opportunity to present evidence of advanced study and research characterised by intellectual independence and advanced knowledge of a specialisation area in the
subject, as well as accurate evaluation of his/her own results and that of others by production of a thesis which places his/her research in broader context and which is capable of withstanding international intellectual scrutiny.
(b) developing the candidate in order to demonstrate knowledge and understanding of supervised planning and execution of a research project in the discipline. This project includes hypothesis formulation, collecting appropriate experimental materials, optimising techniques and procedures, data acquisition, analysis and interpretation of results, and writing of a dissertation according to a structured
format and related literature."
null;null;Biological Principles in Agriculture;1st Year;null;null;null;"After completion students will be able to apply the principles of the physiology
of farm animals and agricultural and horticultural crops within disciplines. The
different body systems of the animal are addressed. The inherent physiological
differences in plants are demonstrated, the establishment and vegetative and
reproductive growth are discussed, while the surveying, transport and working of
fertilisers, water and pesticides are addressed. Practical work: Demonstrations
of the principles involved in the body. The most important theoretical aspects of
crops are practically conducted"
null;null;"Agricultural
Management
Thesis";null;null;null;null;"This module contains fundamental knowledge, theories, principles and practices
of Agricultural Management, including: Research project in specialized field
of Agricultural Management as discussed by study leader(s), Academic
Departmental Head and student. The project includes problem identification,
hypothesis formulation, independent planning and conducting of experiments,
analysis and interpretation of results, discussion of results, compiling the
information according to a specified dissertation structure, grammatical and
technical aspects of scientific writing. The emphasis is on independent and
original research.This module contains fundamental knowledge, theories, principles and practices
of Agricultural Management, including: Research project in specialized field
of Agricultural Management as discussed by study leader(s), Academic
Departmental Head and student. The project includes problem identification,
hypothesis formulation, independent planning and conducting of experiments,
analysis and interpretation of results, discussion of results, compiling the
information according to a specified dissertation structure, grammatical and
technical aspects of scientific writing. The emphasis is on independent and
original research.
The student will be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department recommend that
dissertations be written in article format);and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing."
null;null;"Biological
Principles in
Agriculture";null;null;null;null;"After completion students will be able to apply the principles of the physiology
of farm animals and agricultural and horticultural crops within disciplines. The
different body systems of the animal are addressed. The inherent physiological
differences in plants are demonstrated, the establishment and vegetative and
reproductive growth are discussed, while the surveying, transport and working of
fertilisers, water and pesticides are addressed. Practical work: Demonstrations
of the principles involved in the body. The most important theoretical aspects of
crops are practically conducted

Student should be able:
Di-scuss, describe and explain concepts related to the anatomy and physiology of the different animal
and plant systems and gain insight into the practical applied manipulation of certain aspects in the field
of animal and plant production."
null;null;"Mathematical
and Biometrical
Principles in
Agriculture";null;null;null;null;"Skills will be developed in mathematical and statistical calculations. The use of
algebraic and graphical solutions of problems as applied to linear and quadratic
equations. The use of descriptive statistics, with attention to central and
dispersion parameters (mean and variance). Use and application of ANOVA,
regression and correlation to solve agriculturally related problems. Practical
work: Calculations will be done applying the theoretical knowledge in solving
agriculturally orientated mathematical and statistical problems.

Student will be able to:
-describe and explain key terms, concepts, facts and principles of elementary statistics, with regard to
mean, variance and linear regression;
-select and apply standard statistical methods, procedures, and/or techniques within the discipline to
analyse typical data sets found in agricultural;
-Accessing, processing and managing information, in respect of which a learner is able to demonstrate
an ability to gather information from various sources then apply appropriate analyses and evaluation of
the data; and
-Producing and communicating the information, accurately and coherently, using conventions
appropriate to statistics and scientific reporting"
null;null;"Microbiological
principles in
Agriculture";null;null;null;null;"Students who successfully complete this module will be qualified to describe the
basic characteristics and importance of micro-organisms, with specific reference
to their role in agriculture. This knowledge is based on the introductory cell
structure, taxonomy, nutrition, microbial physiology, interaction between microorganisms and plants or animals, the production of high-quality food products,
as well as the factors that corrupt food. Practical work: Students that complete
the practical part successfully will be equipped to conduct basic microbiological
investigations relevant to the Agriculture sector.
Students should be able to:
- demonstrate basic knowledge and understanding, skills, qualities and other attributes in the microbial
principles within the agricultural sector and should be able to;
-Apply and demonstrate a clear understanding of knowledge and insight regarding the basic concepts
and principles of micro-organisms such as the, morphology and nomenclature of bacteria, isolation
and identification of food bacteria, industrial microbiology (making of cheese and bread), food spoilage
and the control thereof, food pathogens and their life cycles, impact of plant and animal diseases,
function and symbiosis of micro-organisms in the digestive tract of ruminant animals, manipulation of
micro-organisms by nutrition, metabolic disorders and diseases caused by micro-organisms in animals
and plants; and
-Communicate efficiently through visual, numeric and/or language proficiency during oral/written
feedback regarding any relevant topic within the basic microbial principles as applicable within the
Agricultural sector."
null;null;"Introduction to
Animal and Plant
Breeding";null;null;null;null;"This module contains fundamental knowledge, theories, principles and
practices of animal and plant breeding including modes of inheritance:
evolution and genetic diversity; mitosis and meiosis; chromosomes, locus and
genes; Mendelian inheritance; sex chromosomes and determination of sex;
linkage and crossing over; sex related inheritance; randomness of inheritance;
dominance and epistasis. Population genetics: gene and genotypic frequencies,
effect of selection and mating systems on gene and genotypic frequencies;
Hardy-Weinberg law; deleterious genes and detecting carriers of deleterious
genes; simply inherited and polygenic traits; natural and artificial selection;
conservation genetics.
Student will be able to:
-Outline modes of inheritance and population genetics and how that knowledge relates to animal and
plant breeding."
null;null;"Theory of Animal
Breeding";null;null;null;null;"Genetic model for quantitative traits; genotype x environment interaction;
statistical methods applied to animal breeding; probabilities and goodness of
fit; the resemblance between relatives; heritability and repeatability; prediction
of selection response; short and long term results of selection; introduction to
quantitative traits; inbreeding and crossbreeding; threshold values and scale
effects; phenotypic, genetic and environmental correlations; hybrid vigour;
correlated responses; natural selection. Practical work: The student estimates
heritability; genetic and phenotypic correlation and other parameters.
MAIN Student will be able to:
- An integrated knowledge of the resemblance between relatives; genetic parameters; prediction of
selection response; short and long term results of selection; inbreeding and crossbreeding; threshold
values and scale effects; genetic and environmental correlations; correlated responses; natural
selection; hybrid vigour; epigenetics;
- Detailed knowledge of the theory of animal breeding how this knowledge relates to other fields,
disciplines or practices;
-Evaluate types of knowledge and explanations typical within the animal breeding context;
- Identify, evaluate and solve problems in unfamiliar contexts;
- Calculate heritability; genetic and phenotypic correlations and other parameters; and
- Communicate effectively through visual and numeric proficiency during oral and written presentations"
null;null;"Animal Production
Practical";null;null;null;null;"After completion of this modules, students will be able to identify and
apply practicalanimal scienceknowledge of basic production aspects such
as facilities, scientific principles, handling and judging animals, attending
courses,lecturesand workshopsby means of self-exploration, identifying
industry role playersand understanding the processes involved in feed and food
processing for both ruminant and monogastric production enterprises.
MAIN Student will be able to:
-Perform practical animal management and animal care activity such as castration, ear tagging,
tail docking, paint branding, ear notching, clipping of needle teeth and injection of iron, handling,
vaccinating, deworming, breeding."
null;null;"Research Project
Animal Sciences";null;null;null;null;"A subject specific project will be completed under the guidance of a supervisor
and it is expected of students to submit a research report in the format of a
scientific publication and to prepare and orally present the results in the format
required by scientific conferences.
MAIN Student will be able to:
Student will be able to:
- perform problem solving, hypothesis formulating, planning, execution and analysis of animal science
experiments/research,
- use a range of specialised skills to identify, analyse and address complex problems drawing
systematically on the body of knowledge and methods appropriate to the field of animal science.
- interpret results and prepare scientific report
- communicate effectively through visual, numeric and/or language proficiency
during oral and written presentations.
-work effectively in a team or group, and to take full responsibility for own decisions and actions, and
full accountability for the decisions and actions of others where appropriate.
-demonstrate insight developed in this module provides a background for further post graduate
studies."
null;null;"Animal Anatomy
and Physiology of
Growth in Farm
Animals";null;null;null;null;"Anatomy and Physiology of muscles and nerves. Animal growth and
development, and the underlying physiological principles. Applied aspects of
animal growth and development. Fundamental aspects of growth, development
and size at different growth phases. The use and application of growth
promotants in South Africa. Energy metabolism in live and post mortem muscle.
MAIN Students will be able to:
- Identify anatomical structures of locomotion;
- Associate with animal growth and development and apply its underlying physiological principles;
- Classify embryological development and factors that affect growth and development;
- Debate the use and application of growth promotants in South Africa; and
- Define and apply the knowledge on energy metabolism in live and post mortem muscle."
null;null;Animal Health;null;null;null;null;"The student is familiar with the vaccination and dosing of farm animals, the
immune reaction, diagnosis, symptoms, lesions, treatment and control of certain
common diseases in livestock, external and internal parasite control and the
occurrence of dystocia. Practical work: Elementary diagnostic and post mortem
procedures. The principals involved with RIA determinants and immunological
techniques are demonstrated.
MAIN Student will be able to:
- Discuss and explain causes, symptoms, lesions, diagnosis, treatment and control measures of
certain common diseases of farm animals;
-Examining, vaccinating and dosing techniques regarding farm animals;
- Discuss the characteristics of the immune reaction and resistance against parasites and pathogens;
and
- Identify and address ethical issues on animal health problems"
null;null;Statistical Analysis;null;null;null;null;"The student will learn to use statistical software packages, SAS and EXCEL,
to analyse data typically found in agricultural research. Using SAS and Excel,
data will be processed to generate descriptive, analyses of variance (ANOVA)
and regression statistics for further interpretation, inference and reporting
regarding the analysed data. Practical work: The student will use the software
statistical packages, SAS and Excel to analyse data using appropriate statistical
methodology. The results will be tabulated, saved and exported as HTML, RTF,
DOC and PDF files. These results will then be summarised and reported.
MAIN Student will be able to:
- apply appropriate statistical methods, procedures and/or techniques in analyses of data within a
defined context using commercially available statistical software packages; and
- interpret and report results from these data analyses"
null;null;"Animal Science
Dissertation";null;null;null;null;"This module contains fundamental knowledge, theories, principles and
practices of Animal Science, including: Research project in specialized field
of Animal Science as discussed by study leader(s), Academic Departmental
Head and student. The project includes problem identification, hypothesis
formulation, independent planning and conducting of experiments, analysis
and interpretation of results, discussion of results, compiling the information
according to a specified dissertation structure, grammatical and technical
aspects of scientific writing.
(a) offer the candidate the opportunity of increasing his/her knowledge of a
specific field within Animal Science;
(b) to guide the candidate in the planning and execution of a research
programme;
(c) to train the candidate in the collection, and interpretation of research results
and writing of scientific papers;
(d)to guide the candidate towards conducting independent research and
communicating research results; and
(e) to develop the candidate’s management skills concerning integrated
application of acquired knowledge and skills in actual situations, namely the
running of farming enterprises and processing of agricultural products.
MAIN Student will be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department recommend
that dissertations be written in article format); and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing."
null;null;"Animal Science
General Thesis";null;null;null;null;"This module contains fundamental knowledge, theories, principles and practices
of Animal Sciences, General including: Research project in specialized field
of Animal Sciences, General as discussed by study leader(s), Academic
Departmental Head and student. The project includes problem identification,
hypothesis formulation, independent planning and conducting of experiments,
analysis and interpretation of results, discussion of results, compiling the
information according to a specified dissertation structure, grammatical and
technical aspects of scientific writing. The emphasis is on independent and
original research.
MAIN Student should be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department recommend
that dissertations be written in article format); and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing"
null;null;"Architecture
Thesis";null;null;null;null;"This module contains fundamental knowledge, theories, principles and
practices of Architecture
, including: Research project in specialized fields of Architecture
and another science discipline as discussed by study leader(s), Academic
Departmental Head and student. The project includes problem identification,
hypothesis formulation, independent planning and conducting of experiments,
analysis and interpretation of results, discussion of results, compiling the
information according to a specified dissertation structure, grammatical and
technical aspects of scientific writing.
MAIN Student will be able to:
Identify the problem
Formulate a hypothesis
do independent planning and then conduct the experiments
Analyse and interpret the results
Discuss the results comprehensively
Compile the information according to a specified dissertation structure (the department recommend
that dissertations be written in article format)
Write a manuscript, adhering to the grammatical and technical aspects of scientific writing."
null;null;"Architectural
Treatise";null;null;null;null;"This module involves a critical investigation of the theoretical aspects of the
specific chosen and approved design subject and project and is complementary
to the pursuit of the Design Dissertation (DDIS7900). The module includes:
Critical analyses of relevant contemporary theoretical premises, as well as
applicable theoretical issues pertaining to the specific design subject and
project set out in an academically rigorous treatise.
MAIN Student will be able to:
1.Critically identify, apply, organise and integrate appropriate research methodologies (abstract,
storyline, historical investigation, precedent and case studies, concrete and abstract site investigation,
cognitive mapping etc.) To a design strategy for a complex building;
2.Formulate and take responsibility for a grounded and critical point of view of applicable historical,
social, environmental and cultural phenomena and related theory;
3.Prepare a criteria for adjudication of own and other theorists’ theoretical position;
4.Identify, communicate and evaluate the essence and the extent of complex and challenging design
problems within the field of architecture based on the prepared criteria;
5.Conceptualise, apply and integrate the said criteria to address a specific design problem and
illustrate the theoretical and practical implication through a synthesis study; and
6.Communicate and defend the aspects of architectural theoretical discourse that is the product of
responsible and ethical research developed in a specific human ecological landscape."
null;null;"Research
in Theory of
Architecture";null;null;null;null;"This module contains fundamental knowledge, theories, principles and
practices of the Research into Theory of Architecture, including: individual
research, reflective assessment and critique of architecture by applying
knowledge from contemporary architectural thought, humanities and social
and natural sciences. Analyses of relevant contemporary premises. Research
into Theoretical aspects applicable to a specific chosen design theme and
project. Research into Concepts in contemporary architectural theory relating
to urban design, environment responsible design, conservation and housing as
applicable to the chosen design problem.
MAIN Student will be able to:
-identify, analyse and evaluate a specific design problem (specific site and specific design type on the
site);
-differentiate and integrate theories, terms, concepts, principles relating to contemporary architecture,
humanities and social and natural sciences;
-evaluate types of theoretical concepts and principles based on critical assessment of architecture
specifically within the context of urban design, environment responsible design, conservation and
housing;
-interpret and interrogate the multiple functions, objectives and different aspects of contemporary
architectural theory as applicable to a specific design problem;
-critically identify and evaluate the theories applicable to a specific design problem from different
theoretical and philosophical ideas that influenced architectural and urban design in order to develop
creative responses to a specific choses design problem;
-draw conclusions from above mentioned in order to analyse, evaluate and determine priorities in their
applicability and to better understand the situation in architecture as applicable to a specific chosen
design problem;
-assess, process and manage information pertaining to the theory of architecture within a context
(specifically South Africa) and develop creative responses to urban design, environmental design,
conservation and housing issues as applicable to the specific choses design problem;
-develop skills in presenting and articulating theoretical principles in an rigorously academic and
professional way as seminars while offering creative insights into the problems and issues;
-evaluate projects that embrace the idea of contemporary architecture and to self-critically formulate
architectural design principles as a method of design problem solving specific within a urban context.
-formulate research and take responsibility for the construction of an own theory, based on academic
knowledge of contemporary architectural thought, the creative insights into the complex relationship
between a specific context, siting, client etc., and the ethical issues based on critical reflection on the
problems inherent to urban design, environment responsible design, conservation and housing.
-comprehensive individual research into the field of architecture, specifically to include independent
research into theoretical aspects illustrating an advance knowledge of a specific chosen site,
the historical considerations of the specific human ecological landscape, the identifications of an
appropriate architectural design problem, appropriate design hypothesis;
-research and evaluate a wide range of suitable and inventive design principles, methods, theories,
techniques, processes and solutions to a specific architectural problem that attempts to address
complex contextual, historical, social and cultural phenomena and/or a theoretical statement."
null;null;"Food Science
Dissertation";null;null;null;null;"This module contains fundamental knowledge, theories, principles
and practices of Food Science, including: Research project in
specialized field of Food Science as discussed by study leader(s),
Academic Departmental Head and student. The project includes
problem identification, hypothesis formulation, independent planning
and conducting of experiments, analysis and interpretation of results,
discussion of results, compiling the information according to a specified
dissertation structure, grammatical and technical aspects of scientific
writing.
MAIN Student will be able to:
- Identify the problem;
- Formulate a hypothesis;
- Do independent planning and then conduct the experiments;
- Analyse and interpret the results;
- Discuss the results comprehensively;
- Compile the information according to a specified dissertation structure (the
department recommend that dissertations be written in article format); and
- Write a manuscript, adhering to the grammatical and technical aspects of scientific writing"
null;null;"Food Science
Literature Study";null;null;null;null;"The student prepares a comprehensive scientific literature review
on a specific topic which is presented in the form of a seminar and
oral presenation. After completion of this module the student will be
capable of unlocking literature, organizing information, concluding this
information according to a structured format, as well as written and oral
communication.
MAIN Student will be able to:
- Integrate and select specialized knowledge of food science to identify, analyse and address
problems;
- Outline literature, organize information, conclude this information according to a structured format, as
well as written and oral communication; and
-Take responsibility and accountability of decisions made in the selection of existing knowledge in the
choice of problem solving attempts"
null;null;"Research Project
Food Science";null;null;null;null;"Students will carry out, undersupervision of a study leader, a research
project on aspects of Food Science. It is expected of the student to
prepare the results in the format of a scientific article and deliver an
oral presentation as would be expected at a scientific congress.
MAIN Student will be able to:
• Demostrate the ability to integrate specialised skills in food science to identify, analyse and address
problems and draw on knowldge and methods to attempt solving the problems;
• Develop and apply skills in problem identification,hypothesis formulatin, planning, carrying out
experimental work in Food Science, as well as interpretation and communication of results in both
written and oral presentation. The independence and scientific insight developed in theis module will
provide the student with the necessary background for further postgraduate studies; and
• Take responsibility and accountability of decisions made and results obtained in the choice of problem
solving attempts."
null;null;"Introduction to
general Chemistry";null;null;null;null;"Discuss and clarifying ambiguous chemistry concepts in the school syllabus as
well as critical (generic) outcomes aimed at the development of literacy skills
(oral and written reasoning), numeracy and problem solving skills.
MAIN After successful completion of this module the student will have acquired knowledge, understanding
and insight of the fundamental principles of general chemistry regarding:
Mathematical skills (Significant numbers, mathematical calculations, handling of logarithms to the base
10 and natural logarithms, the drawing of graphs on scale on graph paper), Classification of matter, The Periodic table, Chemical formulas and nomenclature, Basic structure of the atom, fundamental
principles, ions and formation of molecules, relative atomic mass, molar mass, The mole concept,
molar concentration, parts per million and percentage concentration, Introduction to acids and bases,
relevant acid-base theories and pH-calculation, Introduction to gases ‘ laws of Boyle, Charles and the
combined gas laws as well as the Kelvin temperature,
and will have obtained and developed basic analytical skills and techniques (quantitatively and to a
lesser degree qualitatively) of physical/chemical applications and will be able to write a short scientific
report. Th"
null;null;"Inorganic and
Analytical
Chemistry
(Mainstream)";null;null;null;null;"Fundamental principles; Atomic structure, classification of matter (valency,
oxidation numbers, rules of nomenclature, orbital filling; Volumetric analysis,
balancing or redox reactions, stoichiometric relations; Chemical bonding;
Chemical equilibrium; Acids and bases
MAIN Student will be able to:
-Discuss and apply the fundamental experimental principles regarding Analytical, Physical and Organic
Chemistry;
-Display basic experimental skills and techniques with regards to analytical skills, (both quantitative
and qualitative) of physical/chemical applications; and
-Write a short scientific report and will also have acquired the ability to effectively interact and work
within the learning group."
null;null;"Inorganic and
Analytical
Chemistry
(Practical)";null;null;null;null;"Skills and techniques required for quantitative and qualitative practical
laboratory work in Inorganic and Analytical Chemistry in relation with the
content cover in the theoretical module. Students will conduct experimental
procedure, make observations, collect data, draw conclusions and write
scientific reports.
MAIN Student will be able to:
-Explain, discuss and analyse fundamental experimental principles with respect to Inorganic and
Analytical Chemistry; and
-Conduct experiments and use skills and techniques to make observations. collect data, draw
conclusions and write reports."
null;null;"Physical
and Organic
Chemistry
(Mainstream)";null;null;null;null;"Phases and Solutions: Gas laws,Colligative properties; Thermodynamics;
Electrochemistry; Reaction kinetics; Quantum chemistry; Introduction to
Organic Chemistry. Hybridization of the carbon atom; properties, synthesis
and reactions of hydrocarbons, alkylhalides, alcohols, ketones, aldehydes,
carboxylic acids and derivatives or carboxylic acids; introduction to
stereochemistry and reaction mechanisms.
MAIN After successful completion of this module the student will be able to demonstrate knowledge, and
understanding or the fundamental principles underpinning physical and organic chemistry with respect
to:
Phases and Solutions: Description or the phases or matter and the influence or solutes on the phase
characteristics or the gas phase (atmospheric pressure, pressure or a column {barometer, manometer}
Gas laws {Boyle, Charles, Avogadro, Ideal gas law, Dalton, Henry}), Colligative properties (boiling point
elevation and freezing point depression),
Thermodynamics: Elementary calculations on heat transfer, the first law or thermodynamics and
thermochemical processes.
Introductory Electrochemistry (voltaic cell, cell potential, cell notation, spontaneity).
Introductory Reaction kinetics: Reaction orders and calculation or reaction rates, reaction times and
half-lives. (Emphasis on first order kinetics)
Introduction or Organic Chemistry. Hybridization or the carbon atom, properties, synthesis and
reactions or hydrocarbons, alkyl halides, alcohols, ketones, aldehydes, carboxylic acids, derivatives
or carboxylic acids; introduction to stereoisomerism and simple reaction mechanisms. Everyday
applications, including the influence of chemical structure on physical properties and biological activity
will be emphasized,
as well as skills and techniques with respect to both quantitative and qualitative analysis or physical/
chemical applications such as natural product analysis and syntheses or organic compounds and
clear concise scientific reporting or experimental procedures and effective interaction and working
relationships within the learning group."
null;null;"Physical
and Organic
Chemistry
(Mainstream)";null;null;null;null;"Phases and Solutions: Gas laws,Colligative properties; Thermodynamics;
Electrochemistry; Reaction kinetics; Quantum chemistry; Introduction to
Organic Chemistry. Hybridization of the carbon atom; properties, synthesis
and reactions of hydrocarbons, alkylhalides, alcohols, ketones, aldehydes,
carboxylic acids and derivatives or carboxylic acids; introduction to
stereochemistry and reaction mechanisms. Everyday applications, including
the influence of chemical structure on physical properties and biological activity
will be emphasized.
MAIN Student will be able to:
-Discuss and apply the fundamental principles underpinning physical and organic chemistry with
respect to:
Phases and Solutions: Description or the phases or matter and the influence or solutes on the phase
characteristics or the gas phase (atmospheric pressure, pressure or a column {barometer, manometer}
Gas laws {Boyle, Charles, Avogadro, Ideal gas law, Dalton, Henry}), Colligative properties (boiling point
elevation and freezing point depression),
Thermodynamics: Elementary calculations on heat transfer, the first law or thermodynamics,
thermochemical processes and introduction to reaction entropy and free energy.
Electrochemistry (voltaic cell, cell potential, cell notation, spontaneity).
Reaction kinetics: Reaction orders and calculation or reaction rates, reaction times and half-lives.
Quantum chemistry: Introductory concepts with respect to theoretical, structural and spectroscopic
aspects.
Hybridization of the carbon atom; properties, synthesis and reactions of hydrocarbons, alkylhalides,
alcohols, ketones, aldehydes, carboxylic acids and derivatives or carboxylic acids; introduction to
stereochemistry and reaction mechanisms,
as well as skills and techniques with respect to both quantitative and qualitative analysis or physical/
chemical applications such as natural product analysis and syntheses or organic compounds and
clear concise scientific reporting or experimental procedures and effective interaction and working
relationships within the learning group."
null;null;"Physical
and Organic
Chemistry
(Practical)";null;null;null;null;"Skills and techniques required for quantitative and qualitative practical
laboratory work in Inorganic and Physical and Organic Chemistryl Chemistry in
relation with the content cover in the theoretical module. Students will conduct
experimental procedure, make observations, collect data, draw conclusions
and write scientific reports
MAIN Student will be able to:
-explain, discuss and analyse fundamental experimental principles with respect to Physical and
Organic Practicals;
-conduct experiments and use skills and techniques to make observations;
-collect data, draw conclusions and write reports."
null;null;"Physical
Chemistry
practicals";null;null;null;null;"Student will be able to:
-Explain, discuss and analyse fundamental experimental principles with respect to Inorganic and
Analytical Chemistry; and
-Conduct experiments and use skills and techniques to make observations. collect data, draw
conclusions and write reports."
null;null;"Environmental
Impact
Assessment";null;null;null;null;"This module focuses on environmental management best practice prior
to environmental authorisation. It introduces students to legislation
regulating the environmental authorisation process and describe
advances in environmental assessment (land-use planning, strategic
environmental assessments, environmental impact assessments and
basic assessments).
MAIN The student should be able to:
- Discuss the environmental legislative framework that regulates the environmental authorisation
process.
- Apply the mitigation hierarchy to environmental impacts of development.
- Judge the appropriateness of different assessment tools (for example land-use planning, SEA, EIA,
public participation, social impact assessment, ecological impact assessment, risk assessment, etc.)
for specific developments.
- Outline the various steps of each environmental assessment tool.
- Evaluate the need and appropriateness of environmental specialist studies during the environmental
assessment process.
- Synthesise multidisciplinary evidence to support the environmental decision-making process."
null;null;"Environmental
Management
Systems";null;null;null;null;"This module focuses on environmental management best practice after
environmental authorisation has been obtained. It introduces students
to legislation regulating the conditions of environmental authorisation
and the value of environmental management systems. This includes
the implementation and application of a process for monitoring and
evaluating environmental impacts during the project life cycle, up until the
point of project closure and post-development rehabilitation.
MAIN The student should be able to:
- Discuss the environmental legislative framework that regulates the environmental management
process.
- Demonstrate the value of EMS for managing environmental impacts and improving the efficiency of
development projects.
- Outline the characteristics of an effective EMS.
- Analyse the features of an effective monitoring and evaluating systems for environmental impact."
